family,instance_id,topology,synthesis,true_cells,false_cells,unknown_cells,any_true,seed_union_interpretation
max3sat,max3sat_000,grid12,canonical,366,20557,0,True,union_of_complete_actual_circuit_vectors; no componentwise minima
max3sat,max3sat_007,grid12,reuse,0,20923,0,False,union_of_complete_actual_circuit_vectors; no componentwise minima
max3sat,max3sat_007,line12,canonical,1470,19453,0,True,union_of_complete_actual_circuit_vectors; no componentwise minima
max3sat,max3sat_007,line12,reuse,0,20923,0,False,union_of_complete_actual_circuit_vectors; no componentwise minima
max3sat,max3sat_007,ring12,canonical,1470,19453,0,True,union_of_complete_actual_circuit_vectors; no componentwise minima
max3sat,max3sat_007,ring12,reuse,0,20923,0,False,union_of_complete_actual_circuit_vectors; no componentwise minima
max3sat,max3sat_008,grid12,canonical,216,20707,0,True,union_of_complete_actual_circuit_vectors; no componentwise minima
max3sat,max3sat_008,grid12,reuse,180,20743,0,True,union_of_complete_actual_circuit_vectors; no componentwise minima
max3sat,max3sat_008,line12,canonical,1162,19761,0,True,union_of_complete_actual_circuit_vectors; no componentwise minima
max3sat,max3sat_008,line12,reuse,0,20923,0,False,union_of_complete_actual_circuit_vectors; no componentwise minima
max3sat,max3sat_008,ring12,canonical,1755,19168,0,True,union_of_complete_actual_circuit_vectors; no componentwise minima
max3sat,max3sat_008,ring12,reuse,0,20923,0,False,union_of_complete_actual_circuit_vectors; no componentwise minima
max3sat,max3sat_009,grid12,canonical,180,20743,0,True,union_of_complete_actual_circuit_vectors; no componentwise minima
max3sat,max3sat_009,grid12,reuse,0,20923,0,False,union_of_complete_actual_circuit_vectors; no componentwise minima
max3sat,max3sat_009,line12,canonical,368,20555,0,True,union_of_complete_actual_circuit_vectors; no componentwise minima
max3sat,max3sat_009,line12,reuse,180,20743,0,True,union_of_complete_actual_circuit_vectors; no componentwise minima
max3sat,max3sat_009,ring12,canonical,430,20493,0,True,union_of_complete_actual_circuit_vectors; no componentwise minima
max3sat,max3sat_009,ring12,reuse,180,20743,0,True,union_of_complete_actual_circuit_vectors; no componentwise minima
max3sat,max3sat_010,grid12,canonical,312,20611,0,True,union_of_complete_actual_circuit_vectors; no componentwise minima
max3sat,max3sat_010,grid12,reuse,0,20923,0,False,union_of_complete_actual_circuit_vectors; no componentwise minima
max3sat,max3sat_010,line12,canonical,645,20278,0,True,union_of_complete_actual_circuit_vectors; no componentwise minima
max3sat,max3sat_010,line12,reuse,0,20923,0,False,union_of_complete_actual_circuit_vectors; no componentwise minima
max3sat,max3sat_010,ring12,canonical,740,20183,0,True,union_of_complete_actual_circuit_vectors; no componentwise minima
max3sat,max3sat_010,ring12,reuse,0,20923,0,False,union_of_complete_actual_circuit_vectors; no componentwise minima
max3sat,max3sat_011,grid12,canonical,432,20491,0,True,union_of_complete_actual_circuit_vectors; no componentwise minima
max3sat,max3sat_011,grid12,reuse,216,20707,0,True,union_of_complete_actual_circuit_vectors; no componentwise minima
max3sat,max3sat_011,line12,canonical,1280,19643,0,True,union_of_complete_actual_circuit_vectors; no componentwise minima
max3sat,max3sat_011,line12,reuse,1620,19303,0,True,union_of_complete_actual_circuit_vectors; no componentwise minima
max3sat,max3sat_011,ring12,canonical,1764,19159,0,True,union_of_complete_actual_circuit_vectors; no componentwise minima
max3sat,max3sat_011,ring12,reuse,1653,19270,0,True,union_of_complete_actual_circuit_vectors; no componentwise minima
max3sat,max3sat_012,grid12,canonical,1680,19243,0,True,union_of_complete_actual_circuit_vectors; no componentwise minima
max3sat,max3sat_012,grid12,reuse,0,20923,0,False,union_of_complete_actual_circuit_vectors; no componentwise minima
max3sat,max3sat_012,line12,canonical,0,20923,0,False,union_of_complete_actual_circuit_vectors; no componentwise minima
max3sat,max3sat_012,line12,reuse,0,20923,0,False,union_of_complete_actual_circuit_vectors; no componentwise minima
max3sat,max3sat_012,ring12,canonical,10,20913,0,True,union_of_complete_actual_circuit_vectors; no componentwise minima
max3sat,max3sat_012,ring12,reuse,0,20923,0,False,union_of_complete_actual_circuit_vectors; no componentwise minima
max3sat,max3sat_013,grid12,canonical,282,20641,0,True,union_of_complete_actual_circuit_vectors; no componentwise minima
max3sat,max3sat_013,grid12,reuse,432,20491,0,True,union_of_complete_actual_circuit_vectors; no componentwise minima
max3sat,max3sat_013,line12,canonical,225,20698,0,True,union_of_complete_actual_circuit_vectors; no componentwise minima
max3sat,max3sat_013,line12,reuse,0,20923,0,False,union_of_complete_actual_circuit_vectors; no componentwise minima
max3sat,max3sat_013,ring12,canonical,505,20418,0,True,union_of_complete_actual_circuit_vectors; no componentwise minima
max3sat,max3sat_013,ring12,reuse,0,20923,0,False,union_of_complete_actual_circuit_vectors; no componentwise minima
max3sat,max3sat_014,grid12,canonical,216,20707,0,True,union_of_complete_actual_circuit_vectors; no componentwise minima
max3sat,max3sat_014,grid12,reuse,0,20923,0,False,union_of_complete_actual_circuit_vectors; no componentwise minima
max3sat,max3sat_014,line12,canonical,0,20923,0,False,union_of_complete_actual_circuit_vectors; no componentwise minima
max3sat,max3sat_014,line12,reuse,0,20923,0,False,union_of_complete_actual_circuit_vectors; no componentwise minima
max3sat,max3sat_014,ring12,canonical,0,20923,0,False,union_of_complete_actual_circuit_vectors; no componentwise minima
max3sat,max3sat_014,ring12,reuse,0,20923,0,False,union_of_complete_actual_circuit_vectors; no componentwise minima
max3sat,max3sat_015,grid12,canonical,0,20923,0,False,union_of_complete_actual_circuit_vectors; no componentwise minima
max3sat,max3sat_015,grid12,reuse,0,20923,0,False,union_of_complete_actual_circuit_vectors; no componentwise minima
max3sat,max3sat_015,line12,canonical,0,20923,0,False,union_of_complete_actual_circuit_vectors; no componentwise minima
max3sat,max3sat_015,line12,reuse,0,20923,0,False,union_of_complete_actual_circuit_vectors; no componentwise minima
max3sat,max3sat_015,ring12,canonical,0,20923,0,False,union_of_complete_actual_circuit_vectors; no componentwise minima
max3sat,max3sat_015,ring12,reuse,0,20923,0,False,union_of_complete_actual_circuit_vectors; no componentwise minima
max3sat,max3sat_016,grid12,canonical,816,20107,0,True,union_of_complete_actual_circuit_vectors; no componentwise minima
max3sat,max3sat_016,grid12,reuse,0,20923,0,False,union_of_complete_actual_circuit_vectors; no componentwise minima
max3sat,max3sat_016,line12,canonical,1872,19051,0,True,union_of_complete_actual_circuit_vectors; no componentwise minima
max3sat,max3sat_016,line12,reuse,0,20923,0,False,union_of_complete_actual_circuit_vectors; no componentwise minima
max3sat,max3sat_016,ring12,canonical,1680,19243,0,True,union_of_complete_actual_circuit_vectors; no componentwise minima
max3sat,max3sat_016,ring12,reuse,0,20923,0,False,union_of_complete_actual_circuit_vectors; no componentwise minima
max3sat,max3sat_017,grid12,canonical,0,20923,0,False,union_of_complete_actual_circuit_vectors; no componentwise minima
max3sat,max3sat_017,grid12,reuse,0,20923,0,False,union_of_complete_actual_circuit_vectors; no componentwise minima
max3sat,max3sat_017,line12,canonical,0,20923,0,False,union_of_complete_actual_circuit_vectors; no componentwise minima
max3sat,max3sat_017,line12,reuse,0,20923,0,False,union_of_complete_actual_circuit_vectors; no componentwise minima
max3sat,max3sat_017,ring12,canonical,69,20854,0,True,union_of_complete_actual_circuit_vectors; no componentwise minima
max3sat,max3sat_017,ring12,reuse,0,20923,0,False,union_of_complete_actual_circuit_vectors; no componentwise minima
max3sat,max3sat_018,grid12,canonical,0,20923,0,False,union_of_complete_actual_circuit_vectors; no componentwise minima
max3sat,max3sat_018,grid12,reuse,0,20923,0,False,union_of_complete_actual_circuit_vectors; no componentwise minima
max3sat,max3sat_018,line12,canonical,596,20327,0,True,union_of_complete_actual_circuit_vectors; no componentwise minima
max3sat,max3sat_018,line12,reuse,864,20059,0,True,union_of_complete_actual_circuit_vectors; no componentwise minima
max3sat,max3sat_018,ring12,canonical,1337,19586,0,True,union_of_complete_actual_circuit_vectors; no componentwise minima
max3sat,max3sat_018,ring12,reuse,864,20059,0,True,union_of_complete_actual_circuit_vectors; no componentwise minima
max3sat,max3sat_019,grid12,canonical,0,20923,0,False,union_of_complete_actual_circuit_vectors; no componentwise minima
max3sat,max3sat_019,grid12,reuse,0,20923,0,False,union_of_complete_actual_circuit_vectors; no componentwise minima
max3sat,max3sat_019,line12,canonical,2040,18883,0,True,union_of_complete_actual_circuit_vectors; no componentwise minima
max3sat,max3sat_019,line12,reuse,1692,19231,0,True,union_of_complete_actual_circuit_vectors; no componentwise minima
max3sat,max3sat_019,ring12,canonical,1630,19293,0,True,union_of_complete_actual_circuit_vectors; no componentwise minima
max3sat,max3sat_019,ring12,reuse,1304,19619,0,True,union_of_complete_actual_circuit_vectors; no componentwise minima
max3sat,max3sat_020,grid12,canonical,0,20923,0,False,union_of_complete_actual_circuit_vectors; no componentwise minima
max3sat,max3sat_020,grid12,reuse,0,20923,0,False,union_of_complete_actual_circuit_vectors; no componentwise minima
max3sat,max3sat_020,line12,canonical,184,20739,0,True,union_of_complete_actual_circuit_vectors; no componentwise minima
max3sat,max3sat_020,line12,reuse,0,20923,0,False,union_of_complete_actual_circuit_vectors; no componentwise minima
max3sat,max3sat_020,ring12,canonical,832,20091,0,True,union_of_complete_actual_circuit_vectors; no componentwise minima
max3sat,max3sat_020,ring12,reuse,0,20923,0,False,union_of_complete_actual_circuit_vectors; no componentwise minima
max3sat,max3sat_021,grid12,canonical,1176,19747,0,True,union_of_complete_actual_circuit_vectors; no componentwise minima
max3sat,max3sat_021,grid12,reuse,216,20707,0,True,union_of_complete_actual_circuit_vectors; no componentwise minima
max3sat,max3sat_021,line12,canonical,1836,19087,0,True,union_of_complete_actual_circuit_vectors; no componentwise minima
max3sat,max3sat_021,line12,reuse,1584,19339,0,True,union_of_complete_actual_circuit_vectors; no componentwise minima
max3sat,max3sat_021,ring12,canonical,1836,19087,0,True,union_of_complete_actual_circuit_vectors; no componentwise minima
max3sat,max3sat_021,ring12,reuse,1584,19339,0,True,union_of_complete_actual_circuit_vectors; no componentwise minima
max3sat,max3sat_022,grid12,canonical,84,20839,0,True,union_of_complete_actual_circuit_vectors; no componentwise minima
max3sat,max3sat_022,grid12,reuse,0,20923,0,False,union_of_complete_actual_circuit_vectors; no componentwise minima
max3sat,max3sat_022,line12,canonical,1146,19777,0,True,union_of_complete_actual_circuit_vectors; no componentwise minima
max3sat,max3sat_022,line12,reuse,0,20923,0,False,union_of_complete_actual_circuit_vectors; no componentwise minima
max3sat,max3sat_022,ring12,canonical,1146,19777,0,True,union_of_complete_actual_circuit_vectors; no componentwise minima
max3sat,max3sat_022,ring12,reuse,0,20923,0,False,union_of_complete_actual_circuit_vectors; no componentwise minima
max3sat,max3sat_023,grid12,canonical,144,20779,0,True,union_of_complete_actual_circuit_vectors; no componentwise minima
max3sat,max3sat_023,grid12,reuse,216,20707,0,True,union_of_complete_actual_circuit_vectors; no componentwise minima
max3sat,max3sat_023,line12,canonical,768,20155,0,True,union_of_complete_actual_circuit_vectors; no componentwise minima
max3sat,max3sat_023,line12,reuse,432,20491,0,True,union_of_complete_actual_circuit_vectors; no componentwise minima
max3sat,max3sat_023,ring12,canonical,1238,19685,0,True,union_of_complete_actual_circuit_vectors; no componentwise minima
max3sat,max3sat_023,ring12,reuse,432,20491,0,True,union_of_complete_actual_circuit_vectors; no componentwise minima
max3sat,max3sat_024,grid12,canonical,0,20923,0,False,union_of_complete_actual_circuit_vectors; no componentwise minima
max3sat,max3sat_024,grid12,reuse,0,20923,0,False,union_of_complete_actual_circuit_vectors; no componentwise minima
max3sat,max3sat_024,line12,canonical,720,20203,0,True,union_of_complete_actual_circuit_vectors; no componentwise minima
max3sat,max3sat_024,line12,reuse,0,20923,0,False,union_of_complete_actual_circuit_vectors; no componentwise minima
max3sat,max3sat_024,ring12,canonical,1055,19868,0,True,union_of_complete_actual_circuit_vectors; no componentwise minima
max3sat,max3sat_024,ring12,reuse,0,20923,0,False,union_of_complete_actual_circuit_vectors; no componentwise minima
max3sat,max3sat_025,grid12,canonical,0,20923,0,False,union_of_complete_actual_circuit_vectors; no componentwise minima
max3sat,max3sat_025,grid12,reuse,0,20923,0,False,union_of_complete_actual_circuit_vectors; no componentwise minima
max3sat,max3sat_025,line12,canonical,0,20923,0,False,union_of_complete_actual_circuit_vectors; no componentwise minima
max3sat,max3sat_025,line12,reuse,0,20923,0,False,union_of_complete_actual_circuit_vectors; no componentwise minima
max3sat,max3sat_025,ring12,canonical,0,20923,0,False,union_of_complete_actual_circuit_vectors; no componentwise minima
max3sat,max3sat_025,ring12,reuse,0,20923,0,False,union_of_complete_actual_circuit_vectors; no componentwise minima
max3sat,max3sat_026,grid12,canonical,185,20738,0,True,union_of_complete_actual_circuit_vectors; no componentwise minima
max3sat,max3sat_026,grid12,reuse,2124,18799,0,True,union_of_complete_actual_circuit_vectors; no componentwise minima
max3sat,max3sat_026,line12,canonical,0,20923,0,False,union_of_complete_actual_circuit_vectors; no componentwise minima
max3sat,max3sat_026,line12,reuse,0,20923,0,False,union_of_complete_actual_circuit_vectors; no componentwise minima
max3sat,max3sat_026,ring12,canonical,2,20921,0,True,union_of_complete_actual_circuit_vectors; no componentwise minima
max3sat,max3sat_026,ring12,reuse,0,20923,0,False,union_of_complete_actual_circuit_vectors; no componentwise minima
max3sat,max3sat_027,grid12,canonical,180,20743,0,True,union_of_complete_actual_circuit_vectors; no componentwise minima
max3sat,max3sat_027,grid12,reuse,0,20923,0,False,union_of_complete_actual_circuit_vectors; no componentwise minima
max3sat,max3sat_027,line12,canonical,766,20157,0,True,union_of_complete_actual_circuit_vectors; no componentwise minima
