family,instance_id,topology,synthesis,seed,selected_candidate_id,selected_category,baseline_selected_candidate_id,baseline_selected_feasible,baseline_budget_cells,retained_baseline_budget_cells,baseline_coverage_retention,baseline_resource_task_id,current_resource_task_id,budget_set_definition
max3sat,max3sat_001,grid12,reuse,57721,b271f08c10b1893a19ea43c9,native,b271f08c10b1893a19ea43c9,TRUE,14406,14406,1.0,f3853a68f4973a24aed2b90d,b044aa4c37d5cc15072f22a3,all complete grid tuples feasible for the fixed baseline J winner
max3sat,max3sat_001,grid12,reuse,65537,b271f08c10b1893a19ea43c9,native,b271f08c10b1893a19ea43c9,TRUE,14406,14406,1.0,f3853a68f4973a24aed2b90d,403cc04e41f87db320c3e12b,all complete grid tuples feasible for the fixed baseline J winner
max3sat,max3sat_001,line12,canonical,1729,6d004e756fe62deba2af7973,native,6d004e756fe62deba2af7973,TRUE,9065,9065,1.0,756faae5e520fc405bfff53d,756faae5e520fc405bfff53d,all complete grid tuples feasible for the fixed baseline J winner
max3sat,max3sat_001,line12,canonical,2718,6d004e756fe62deba2af7973,native,6d004e756fe62deba2af7973,TRUE,9065,9065,1.0,756faae5e520fc405bfff53d,b5e27503860062d1198022f4,all complete grid tuples feasible for the fixed baseline J winner
max3sat,max3sat_001,line12,canonical,31415,6d004e756fe62deba2af7973,native,6d004e756fe62deba2af7973,TRUE,9065,9065,1.0,756faae5e520fc405bfff53d,b755a7c8cd8c5da752addf7f,all complete grid tuples feasible for the fixed baseline J winner
max3sat,max3sat_001,line12,canonical,57721,6d004e756fe62deba2af7973,native,6d004e756fe62deba2af7973,TRUE,9065,9065,1.0,756faae5e520fc405bfff53d,badcf66d2df90a98eb3a8412,all complete grid tuples feasible for the fixed baseline J winner
max3sat,max3sat_001,line12,canonical,65537,6d004e756fe62deba2af7973,native,6d004e756fe62deba2af7973,TRUE,9065,9065,1.0,756faae5e520fc405bfff53d,49c4ddcceeabaeea18e1a3c7,all complete grid tuples feasible for the fixed baseline J winner
max3sat,max3sat_001,line12,reuse,1729,fe81bec2e7ef39a37da9967c,native,fe81bec2e7ef39a37da9967c,TRUE,13230,13230,1.0,efe3d1f6446627850cd81fcb,efe3d1f6446627850cd81fcb,all complete grid tuples feasible for the fixed baseline J winner
max3sat,max3sat_001,line12,reuse,2718,fe81bec2e7ef39a37da9967c,native,fe81bec2e7ef39a37da9967c,TRUE,13230,13230,1.0,efe3d1f6446627850cd81fcb,65ac0aa18a1735d19e2b6f7e,all complete grid tuples feasible for the fixed baseline J winner
max3sat,max3sat_001,line12,reuse,31415,fe81bec2e7ef39a37da9967c,native,fe81bec2e7ef39a37da9967c,TRUE,13230,13230,1.0,efe3d1f6446627850cd81fcb,81e006a72ad7718b794efe38,all complete grid tuples feasible for the fixed baseline J winner
