ci95_high,ci95_low,df,dz,family,favorable_direction,losses,mean,metric,n_instances,noise_level,representation,sd,ties,wins
0.04415012274589185,-0.09035599658848446,8,-0.26405474258723655,cubic_spin_glass,higher,4,-0.023102936921296308,optimum_hit_rate,9,noiseless,selective,0.08749298230712035,1,4
12.52027521970118,-5.28250033544192,8,0.31250443245176973,cubic_spin_glass,lower,4,3.6188874421296293,encoded_energy_mean,9,noiseless,selective,11.580275561973506,0,5
0.2781907776530849,-0.10989650681975156,8,0.33333333333333337,cubic_spin_glass,lower,1,0.08414713541666667,auxiliary_inconsistency_rate,9,noiseless,selective,0.25244140625,8,0
0.01612400306654236,-0.08882365584432014,8,-0.5324740023527753,cubic_spin_glass,lower,2,-0.03634982638888889,original_objective_mean,9,realistic_high,selective,0.06826591763780865,3,4
0.000882696680727669,-0.0005933448288758208,8,0.1506837855525684,cubic_spin_glass,higher,0,0.00014467592592592402,optimum_hit_rate,9,realistic_high,selective,0.000960129355626333,9,0
12.063275232915405,-4.796673670415408,8,0.33129426722235616,cubic_spin_glass,lower,3,3.633300781249999,encoded_energy_mean,9,realistic_high,selective,10.966989594212995,3,3
0.2743643839780801,-0.1083849279595616,8,0.3333333333333333,cubic_spin_glass,lower,1,0.08298972800925926,auxiliary_inconsistency_rate,9,realistic_high,selective,0.2489691840277778,8,0
0.25141047627699953,-0.3122105341473699,8,-0.08291930350157417,cubic_spin_glass,lower,3,-0.030400028935185168,original_objective_mean,9,realistic_low,selective,0.3666218558457626,0,6
0.005979166739397374,-0.010210937572730706,8,-0.20091451858019477,cubic_spin_glass,higher,2,-0.0021158854166666665,optimum_hit_rate,9,realistic_low,selective,0.010531271864368098,7,0
12.071350219087456,-4.942823743393011,8,0.3220532787763433,cubic_spin_glass,lower,3,3.5642632378472223,encoded_energy_mean,9,realistic_low,selective,11.067309270657978,0,6
0.27615800601323864,-0.10909348055027568,8,0.3333333333333333,cubic_spin_glass,lower,1,0.08353226273148148,auxiliary_inconsistency_rate,9,realistic_low,selective,0.2505967881944445,8,0
