ci95_high,ci95_low,df,family,mean,metric,n_instances,noise_level,representation,sd
11.361630976959406,4.543841389938743,8,max3sat,7.952736183449074,encoded_energy_mean,9,noiseless,all_native,4.434807476884926
0.0,0.0,8,max3sat,0.0,auxiliary_inconsistency_rate,9,noiseless,all_native,0.0
12.924260914911681,6.4766360758290595,8,max3sat,9.70044849537037,original_objective_mean,9,realistic_high,all_native,4.194024247821938
0.1198610065481118,-0.00822544520551921,8,max3sat,0.055817780671296294,optimum_hit_rate,9,realistic_high,all_native,0.08331714358067967
12.924260914911681,6.4766360758290595,8,max3sat,9.70044849537037,encoded_energy_mean,9,realistic_high,all_native,4.194024247821938
0.0,0.0,8,max3sat,0.0,auxiliary_inconsistency_rate,9,realistic_high,all_native,0.0
12.539424499664504,6.070818555891053,8,max3sat,9.305121527777779,original_objective_mean,9,realistic_low,all_native,4.207671949730095
0.14596510243524083,-0.006407087388944521,8,max3sat,0.06977900752314815,optimum_hit_rate,9,realistic_low,all_native,0.09911442969552274
12.539424499664504,6.070818555891053,8,max3sat,9.305121527777779,encoded_energy_mean,9,realistic_low,all_native,4.207671949730095
0.0,0.0,8,max3sat,0.0,auxiliary_inconsistency_rate,9,realistic_low,all_native,0.0
12.161205175225113,5.886971908108219,8,max3sat,9.024088541666666,original_objective_mean,9,noiseless,fully_quadratized,4.08123721766097
0.13506982517428062,0.003819063714608259,8,max3sat,0.06944444444444445,optimum_hit_rate,9,noiseless,fully_quadratized,0.08537545062644816
39.19038336577458,23.898700835614306,8,max3sat,31.544542100694443,encoded_energy_mean,9,noiseless,fully_quadratized,9.946870192064768
0.9010044303832279,0.7374142617464017,8,max3sat,0.8192093460648148,auxiliary_inconsistency_rate,9,noiseless,fully_quadratized,0.1064114539991984
12.799840422612279,6.466507957017354,8,max3sat,9.633174189814817,original_objective_mean,9,realistic_high,fully_quadratized,4.119679819026556
0.11943657231713083,-0.007909517918982686,8,max3sat,0.05576352719907407,optimum_hit_rate,9,realistic_high,fully_quadratized,0.08283555629324926
39.10533897594345,24.20079528331582,8,max3sat,31.653067129629633,encoded_energy_mean,9,realistic_high,fully_quadratized,9.695045727644388
0.9032555181478459,0.738147114954006,8,max3sat,0.8207013165509259,auxiliary_inconsistency_rate,9,realistic_high,fully_quadratized,0.10739902891320392
12.535069650639295,6.256976790332926,8,max3sat,9.39602322048611,original_objective_mean,9,realistic_low,fully_quadratized,4.083747789821631
0.12697556524699588,-0.0034765779784773562,8,max3sat,0.061749493634259266,optimum_hit_rate,9,realistic_low,fully_quadratized,0.08485596875171483
39.18003676345038,24.088065811781107,8,max3sat,31.634051287615744,encoded_energy_mean,9,realistic_low,fully_quadratized,9.816962633286703
0.9018931565465214,0.7371946617405156,8,max3sat,0.8195439091435185,auxiliary_inconsistency_rate,9,realistic_low,fully_quadratized,0.10713239340619643
11.555547671879143,5.249364075806042,8,max3sat,8.402455873842593,original_objective_mean,9,noiseless,matched_random_selective,4.1020201350472245
0.1775106302608091,0.0020104924243760786,8,max3sat,0.0897605613425926,optimum_hit_rate,9,noiseless,matched_random_selective,0.11415860133804238
23.93777970217751,11.314650853378037,8,max3sat,17.626215277777774,encoded_energy_mean,9,noiseless,matched_random_selective,8.211040467853627
