budget_key,ci95_high,ci95_low,df,dz,family,favorable_direction,losses,mean,metric,n_instances,representation,sd,ties,wins
equal_layer_p2,3.1750796630836593,0.9072448798613635,6,1.6648128535327378,cubic_spin_glass,lower,7,2.0411622714725115,original_objective_mean,7,fully_quadratized,1.2260610957809217,0,0
equal_layer_p2,0.0005372401660615062,-0.19794198919852385,6,-0.9198390351723079,cubic_spin_glass,higher,7,-0.09870237451623118,optimum_hit_rate,7,fully_quadratized,0.10730396378290454,0,0
equal_layer_p2,73.67868081531526,31.21790290131741,6,2.2847711283083596,cubic_spin_glass,lower,7,52.44829185831633,encoded_energy_mean,7,fully_quadratized,22.95559988853192,0,0
equal_layer_p2,0.9626504331146052,0.8588431315750494,6,16.22815114069784,cubic_spin_glass,lower,7,0.9107467823448273,auxiliary_inconsistency_rate,7,fully_quadratized,0.05612141361321236,0,0
equal_2q_budget_128,1.7605980288497063,-0.8651557861759478,6,0.31539360097744307,cubic_spin_glass,lower,4,0.4477211213368792,original_objective_mean,7,matched_random_selective,1.4195631108219604,0,3
equal_2q_budget_128,0.03626564919013011,-0.04286836415654268,6,-0.07716647501866318,cubic_spin_glass,higher,3,-0.003301357483206285,optimum_hit_rate,7,matched_random_selective,0.04278227666104784,1,3
equal_2q_budget_128,18.210766226112476,-7.701038269153008,6,0.37511386822748044,cubic_spin_glass,lower,4,5.254863978479735,encoded_energy_mean,7,matched_random_selective,14.00871688191764,0,3
equal_2q_budget_128,0.4308639813931222,-0.18086398139312224,6,0.37796447300922725,cubic_spin_glass,lower,1,0.12499999999999997,auxiliary_inconsistency_rate,7,matched_random_selective,0.33071891388307373,6,0
equal_2q_budget_256,1.573780221298907,-0.48838303490148316,6,0.4867824940909911,cubic_spin_glass,lower,3,0.5426985931987119,original_objective_mean,7,matched_random_selective,1.114868755114412,0,4
equal_2q_budget_256,0.03911856188496226,-0.04852861602967346,6,-0.09929411048071524,cubic_spin_glass,higher,4,-0.004705027072355599,optimum_hit_rate,7,matched_random_selective,0.04738475474101158,2,1
equal_2q_budget_256,18.879972540635034,-7.669503007589434,6,0.39051449681007233,cubic_spin_glass,lower,3,5.6052347665228,encoded_energy_mean,7,matched_random_selective,14.353461426680198,0,4
equal_2q_budget_256,0.4232470782783814,-0.17766663029692853,6,0.37796447300922725,cubic_spin_glass,lower,1,0.12279022399072644,auxiliary_inconsistency_rate,7,matched_random_selective,0.3248723961093792,6,0
equal_layer_p1,1.2545194814274243,-0.46607380810983695,6,0.4238018555469538,cubic_spin_glass,lower,5,0.3942228366587937,original_objective_mean,7,matched_random_selective,0.9302055465283753,0,2
equal_layer_p1,0.041532582740119714,-0.03827913491994987,6,0.03770044640154491,cubic_spin_glass,higher,1,0.0016267239100849211,optimum_hit_rate,7,matched_random_selective,0.04314866441523781,4,2
equal_layer_p1,18.923627469554212,-7.746267407104874,6,0.38760310001158627,cubic_spin_glass,lower,5,5.588680031224669,encoded_energy_mean,7,matched_random_selective,14.418563811944775,0,2
equal_layer_p1,0.43377354345877983,-0.18208532966550225,6,0.3779644730092272,cubic_spin_glass,lower,1,0.1258441068966388,auxiliary_inconsistency_rate,7,matched_random_selective,0.33295221081153464,6,0
equal_layer_p2,1.7909186124301555,-1.249702015087403,6,0.1646183231284131,cubic_spin_glass,lower,3,0.27060829867137626,original_objective_mean,7,matched_random_selective,1.6438528441349995,0,4
equal_layer_p2,0.03316329347717059,-0.04791842867772848,6,-0.16830209933163537,cubic_spin_glass,higher,2,-0.007377567600278947,optimum_hit_rate,7,matched_random_selective,0.04383526782836869,3,2
equal_layer_p2,19.47743208592487,-8.643146687190875,6,0.35632420185685926,cubic_spin_glass,lower,3,5.417142699366998,encoded_energy_mean,7,matched_random_selective,15.202848055611854,0,4
equal_layer_p2,0.43257606978540136,-0.18158266556375852,6,0.37796447300922725,cubic_spin_glass,lower,1,0.12549670211082142,auxiliary_inconsistency_rate,7,matched_random_selective,0.33203306414398814,6,0
equal_2q_budget_128,1.6532115635426747,-0.7907077295814153,6,0.3263949861156814,cubic_spin_glass,lower,3,0.43125191698062965,original_objective_mean,7,selective,1.3212577868086022,0,4
equal_2q_budget_128,0.055385346244821346,-0.07094289246340237,6,-0.11389639103374498,cubic_spin_glass,higher,3,-0.007778773109290511,optimum_hit_rate,7,selective,0.06829692353452914,3,1
equal_2q_budget_128,17.009925957849294,-7.2188506953166085,6,0.37373881717763546,cubic_spin_glass,lower,3,4.895537631266342,encoded_energy_mean,7,selective,13.098820369358442,0,4
equal_2q_budget_128,0.43086398139312226,-0.18086398139312226,6,0.37796447300922725,cubic_spin_glass,lower,1,0.12499999999999999,auxiliary_inconsistency_rate,7,selective,0.3307189138830738,6,0
equal_2q_budget_256,1.635154027544115,0.007068646100999443,6,0.9328765400288326,cubic_spin_glass,lower,7,0.8211113368225572,original_objective_mean,7,selective,0.8801929318505308,0,0
equal_2q_budget_256,0.0037217899702742044,-0.060899719550740826,6,-0.8183152244830522,cubic_spin_glass,higher,5,-0.02858896479023331,optimum_hit_rate,7,selective,0.03493637162658631,1,1
equal_2q_budget_256,17.752493302937967,-6.6520900382290025,6,0.4206652750618492,cubic_spin_glass,lower,7,5.550201632354482,encoded_energy_mean,7,selective,13.19386686133875,0,0
equal_2q_budget_256,0.43442078110040994,-0.18235702092266934,6,0.3779644730092272,cubic_spin_glass,lower,1,0.1260318800888703,auxiliary_inconsistency_rate,7,selective,0.3334490119810639,6,0
equal_layer_p1,1.0132152824438752,-0.255420350407571,6,0.5524387009495296,cubic_spin_glass,lower,3,0.37889746601815205,original_objective_mean,7,selective,0.6858633643278511,2,2
equal_layer_p1,0.041494050300731035,-0.06640396432976854,6,-0.21351484695633344,cubic_spin_glass,higher,2,-0.012454957014518752,optimum_hit_rate,7,selective,0.05833297867602599,4,1
equal_layer_p1,16.405619796569425,-6.618283482788241,6,0.3931469076867952,cubic_spin_glass,lower,3,4.893668156890593,encoded_energy_mean,7,selective,12.447428839473886,2,2
equal_layer_p1,0.44446181448225847,-0.18657195035090895,6,0.3779644730092272,cubic_spin_glass,lower,1,0.12894493206567476,auxiliary_inconsistency_rate,7,selective,0.34115622306789356,6,0
equal_layer_p2,1.5615010318082552,-1.0117574660882094,6,0.1975813933333963,cubic_spin_glass,lower,3,0.27487178286002295,original_objective_mean,7,selective,1.3911825310200532,0,4
equal_layer_p2,0.052165182761780046,-0.08108282825793488,6,-0.20071114971112203,cubic_spin_glass,higher,2,-0.014458822748077414,optimum_hit_rate,7,selective,0.07203796485091932,3,2
equal_layer_p2,16.5260344785595,-7.227655759923921,6,0.36203073871229147,cubic_spin_glass,lower,3,4.649189359317789,encoded_energy_mean,7,selective,12.841974070639715,0,4
equal_layer_p2,0.4493011349265591,-0.18860335422914298,6,0.3779644730092272,cubic_spin_glass,lower,1,0.13034889034870806,auxiliary_inconsistency_rate,7,selective,0.3448707475359089,6,0
equal_2q_budget_128,1.4929261713218684,-1.0036372703751333,6,0.18125586243152114,max3sat,lower,3,0.24464445047336753,original_objective_mean,7,fully_quadratized,1.349718829457418,2,2
equal_2q_budget_128,0.025402787262924616,-0.09586627579473422,6,-0.5373823804453454,max3sat,higher,3,-0.0352317442659048,optimum_hit_rate,7,fully_quadratized,0.06556177788469203,3,1
equal_2q_budget_128,39.227825480121645,17.334056752866026,6,2.389310719032235,max3sat,lower,7,28.280941116493835,encoded_energy_mean,7,fully_quadratized,11.836443410737608,0,0
equal_2q_budget_128,0.966091543616446,0.739757488402537,6,6.970436786652227,max3sat,lower,7,0.8529245160094915,auxiliary_inconsistency_rate,7,fully_quadratized,0.12236313765053675,0,0
equal_2q_budget_256,2.760051310893542,0.9489983191427063,6,1.8940907837950107,max3sat,lower,7,1.8545248150181242,original_objective_mean,7,fully_quadratized,0.9791108382367967,0,0
equal_2q_budget_256,0.007910156436812935,-0.1372745045524154,6,-0.824068235056367,max3sat,higher,6,-0.06468217405780123,optimum_hit_rate,7,fully_quadratized,0.07849128422402657,1,0
equal_2q_budget_256,39.38646803497701,18.719927662252744,6,2.6003120039188694,max3sat,lower,7,29.053197848614875,encoded_energy_mean,7,fully_quadratized,11.172966092080289,0,0
equal_2q_budget_256,0.9599917506447898,0.719829143328622,6,6.468847207683272,max3sat,lower,7,0.8399104469867059,auxiliary_inconsistency_rate,7,fully_quadratized,0.1298392773891947,0,0
equal_layer_p1,3.377343684296531,0.17070476224926567,6,1.023313693990631,max3sat,lower,6,1.7740242232728984,original_objective_mean,7,fully_quadratized,1.7336074301465767,0,1
equal_layer_p1,0.0023996532892972128,-0.1516237410217427,6,-0.8960279294149991,max3sat,higher,4,-0.07461204386622275,optimum_hit_rate,7,fully_quadratized,0.08326977476576611,3,0
equal_layer_p1,36.966782945201494,20.206276333975993,6,3.154812800065868,max3sat,lower,7,28.586529639588743,encoded_energy_mean,7,fully_quadratized,9.061244343560384,0,0
equal_layer_p1,0.9531219908322737,0.7427190234981331,6,7.454226391380106,max3sat,lower,7,0.8479205071652034,auxiliary_inconsistency_rate,7,fully_quadratized,0.11375030253249604,0,0
equal_layer_p2,3.5083335467451167,0.7159797122696525,6,1.3991200215846713,max3sat,lower,7,2.1121566295073846,original_objective_mean,7,fully_quadratized,1.5096321951815925,0,0
equal_layer_p2,-0.009672053299427663,-0.15219780978795175,6,-1.0503691286791434,max3sat,higher,5,-0.0809349315436897,optimum_hit_rate,7,fully_quadratized,0.07705379883495503,2,0
equal_layer_p2,41.93062782576074,19.75902433389795,6,2.573265056630596,max3sat,lower,7,30.844826079829343,encoded_energy_mean,7,fully_quadratized,11.986649412718178,0,0
equal_layer_p2,0.9630161320950449,0.741882696247674,6,7.1303935864022145,max3sat,lower,7,0.8524494141713594,auxiliary_inconsistency_rate,7,fully_quadratized,0.11955152318618083,0,0
equal_2q_budget_128,0.8735581372588709,-0.10383044455602153,6,0.728348373619236,max3sat,lower,3,0.3848638463514247,original_objective_mean,7,matched_random_selective,0.5284062686087946,3,1
equal_2q_budget_128,0.004988392782515141,-0.05176691334479293,6,-0.7622708572408649,max3sat,higher,3,-0.023389260281138895,optimum_hit_rate,7,matched_random_selective,0.03068366061612176,4,0
equal_2q_budget_128,18.790393202178258,5.709073550694909,6,1.7321056488276176,max3sat,lower,7,12.249733376436584,encoded_energy_mean,7,matched_random_selective,7.072162939210933,0,0
