auxiliary_inconsistency_rate,budget_key,depth_stratum,depths,draw_count,draw_ids,encoded_energy_mean,family,instance_id,optimum_hit_rate,original_objective_mean,policy,representation,restart_count,statevector_norm,study,zero_depth_draw_count
0.8695809790086009,equal_2q_budget_128,positive_depth_only,[1],1,"[""""]",24.539281864362408,cubic_spin_glass,inst_04204c7d862dcfca8e427f256f533fe1306d04cc8891110f908ad2c268e28c47,0.018462855052160557,-0.7573627128202168,independence,fully_quadratized,3,1.0,original_e4,0
0.8828704905797794,equal_2q_budget_256,all_scheduled,[3],1,"[""""]",24.610270806274528,cubic_spin_glass,inst_04204c7d862dcfca8e427f256f533fe1306d04cc8891110f908ad2c268e28c47,0.03312514277372871,-0.5651965481414489,cold,fully_quadratized,3,0.9999999999999987,original_e4,0
0.8828704905797794,equal_2q_budget_256,positive_depth_only,[3],1,"[""""]",24.610270806274528,cubic_spin_glass,inst_04204c7d862dcfca8e427f256f533fe1306d04cc8891110f908ad2c268e28c47,0.03312514277372871,-0.5651965481414489,cold,fully_quadratized,3,0.9999999999999987,original_e4,0
0.8458920402699647,equal_2q_budget_256,all_scheduled,[3],1,"[""""]",24.395904081568492,cubic_spin_glass,inst_04204c7d862dcfca8e427f256f533fe1306d04cc8891110f908ad2c268e28c47,0.02255126602261086,-0.7378897806109004,original_only,fully_quadratized,3,1.0000000000000018,original_e4,0
0.8458920402699647,equal_2q_budget_256,positive_depth_only,[3],1,"[""""]",24.395904081568492,cubic_spin_glass,inst_04204c7d862dcfca8e427f256f533fe1306d04cc8891110f908ad2c268e28c47,0.02255126602261086,-0.7378897806109004,original_only,fully_quadratized,3,1.0000000000000018,original_e4,0
0.8493027036641231,equal_2q_budget_256,all_scheduled,[3],1,"[""""]",25.051865771854278,cubic_spin_glass,inst_04204c7d862dcfca8e427f256f533fe1306d04cc8891110f908ad2c268e28c47,0.04721170178865383,-0.7522176400138813,pair,fully_quadratized,3,0.9999999999999997,original_e4,0
0.8493027036641231,equal_2q_budget_256,positive_depth_only,[3],1,"[""""]",25.051865771854278,cubic_spin_glass,inst_04204c7d862dcfca8e427f256f533fe1306d04cc8891110f908ad2c268e28c47,0.04721170178865383,-0.7522176400138813,pair,fully_quadratized,3,0.9999999999999997,original_e4,0
0.8961057175680338,equal_2q_budget_256,all_scheduled,[3],1,"[""""]",25.869166655284364,cubic_spin_glass,inst_04204c7d862dcfca8e427f256f533fe1306d04cc8891110f908ad2c268e28c47,0.027144460111766158,-0.7076865774375656,independence,fully_quadratized,3,1.000000000000002,original_e4,0
0.8961057175680338,equal_2q_budget_256,positive_depth_only,[3],1,"[""""]",25.869166655284364,cubic_spin_glass,inst_04204c7d862dcfca8e427f256f533fe1306d04cc8891110f908ad2c268e28c47,0.027144460111766158,-0.7076865774375656,independence,fully_quadratized,3,1.000000000000002,original_e4,0
0.0,equal_layer_p1,all_scheduled,[1],1,"[""""]",-1.19163561217109,cubic_spin_glass,inst_04204c7d862dcfca8e427f256f533fe1306d04cc8891110f908ad2c268e28c47,0.04481210301449564,-1.19163561217109,cold,selective,3,1.0,original_e4,0
0.0,equal_layer_p1,positive_depth_only,[1],1,"[""""]",-1.19163561217109,cubic_spin_glass,inst_04204c7d862dcfca8e427f256f533fe1306d04cc8891110f908ad2c268e28c47,0.04481210301449564,-1.19163561217109,cold,selective,3,1.0,original_e4,0
0.0,equal_layer_p1,all_scheduled,[1],1,"[""""]",-1.3629558010081795,cubic_spin_glass,inst_04204c7d862dcfca8e427f256f533fe1306d04cc8891110f908ad2c268e28c47,0.043317593802720426,-1.3629558010081795,original_only,selective,3,0.9999999999999996,original_e4,0
0.0,equal_layer_p1,positive_depth_only,[1],1,"[""""]",-1.3629558010081795,cubic_spin_glass,inst_04204c7d862dcfca8e427f256f533fe1306d04cc8891110f908ad2c268e28c47,0.043317593802720426,-1.3629558010081795,original_only,selective,3,0.9999999999999996,original_e4,0
0.0,equal_layer_p2,all_scheduled,[2],1,"[""""]",-2.326790324301295,cubic_spin_glass,inst_04204c7d862dcfca8e427f256f533fe1306d04cc8891110f908ad2c268e28c47,0.0806934534469283,-2.326790324301295,cold,selective,3,1.0,original_e4,0
0.0,equal_layer_p2,positive_depth_only,[2],1,"[""""]",-2.326790324301295,cubic_spin_glass,inst_04204c7d862dcfca8e427f256f533fe1306d04cc8891110f908ad2c268e28c47,0.0806934534469283,-2.326790324301295,cold,selective,3,1.0,original_e4,0
0.0,equal_layer_p2,all_scheduled,[2],1,"[""""]",-2.592171069071817,cubic_spin_glass,inst_04204c7d862dcfca8e427f256f533fe1306d04cc8891110f908ad2c268e28c47,0.05855601645158428,-2.592171069071817,original_only,selective,3,1.0,original_e4,0
0.0,equal_layer_p2,positive_depth_only,[2],1,"[""""]",-2.592171069071817,cubic_spin_glass,inst_04204c7d862dcfca8e427f256f533fe1306d04cc8891110f908ad2c268e28c47,0.05855601645158428,-2.592171069071817,original_only,selective,3,1.0,original_e4,0
0.0,equal_2q_budget_128,all_scheduled,[4],1,"[""""]",-2.544234836349911,cubic_spin_glass,inst_04204c7d862dcfca8e427f256f533fe1306d04cc8891110f908ad2c268e28c47,0.07743144241535409,-2.544234836349911,cold,selective,3,0.9999999999999992,original_e4,0
0.0,equal_2q_budget_128,positive_depth_only,[4],1,"[""""]",-2.544234836349911,cubic_spin_glass,inst_04204c7d862dcfca8e427f256f533fe1306d04cc8891110f908ad2c268e28c47,0.07743144241535409,-2.544234836349911,cold,selective,3,0.9999999999999992,original_e4,0
0.0,equal_2q_budget_128,all_scheduled,[4],1,"[""""]",-1.6594089435472128,cubic_spin_glass,inst_04204c7d862dcfca8e427f256f533fe1306d04cc8891110f908ad2c268e28c47,0.056802237008398176,-1.6594089435472128,original_only,selective,3,1.0,original_e4,0
0.0,equal_2q_budget_128,positive_depth_only,[4],1,"[""""]",-1.6594089435472128,cubic_spin_glass,inst_04204c7d862dcfca8e427f256f533fe1306d04cc8891110f908ad2c268e28c47,0.056802237008398176,-1.6594089435472128,original_only,selective,3,1.0,original_e4,0
0.0,equal_2q_budget_256,all_scheduled,[9],1,"[""""]",-1.6296270698406221,cubic_spin_glass,inst_04204c7d862dcfca8e427f256f533fe1306d04cc8891110f908ad2c268e28c47,0.0811244935043665,-1.6296270698406221,cold,selective,3,0.9999999999999996,original_e4,0
0.0,equal_2q_budget_256,positive_depth_only,[9],1,"[""""]",-1.6296270698406221,cubic_spin_glass,inst_04204c7d862dcfca8e427f256f533fe1306d04cc8891110f908ad2c268e28c47,0.0811244935043665,-1.6296270698406221,cold,selective,3,0.9999999999999996,original_e4,0
0.0,equal_2q_budget_256,all_scheduled,[9],1,"[""""]",-1.4982218593624743,cubic_spin_glass,inst_04204c7d862dcfca8e427f256f533fe1306d04cc8891110f908ad2c268e28c47,0.029182816323083196,-1.4982218593624743,original_only,selective,3,1.000000000000002,original_e4,0
0.0,equal_2q_budget_256,positive_depth_only,[9],1,"[""""]",-1.4982218593624743,cubic_spin_glass,inst_04204c7d862dcfca8e427f256f533fe1306d04cc8891110f908ad2c268e28c47,0.029182816323083196,-1.4982218593624743,original_only,selective,3,1.000000000000002,original_e4,0
0.0,equal_layer_p1,all_scheduled,"[1, 1, 1, 1, 1]",5,"[""2026082711"", ""2026082712"", ""2026082713"", ""2026082714"", ""2026082715""]",-1.8927498965204825,cubic_spin_glass,inst_04204c7d862dcfca8e427f256f533fe1306d04cc8891110f908ad2c268e28c47,0.05982093415338906,-1.8927498965204825,cold,matched_random_selective,15,1.0,original_e4,0
0.0,equal_layer_p1,positive_depth_only,"[1, 1, 1, 1, 1]",5,"[""2026082711"", ""2026082712"", ""2026082713"", ""2026082714"", ""2026082715""]",-1.8927498965204825,cubic_spin_glass,inst_04204c7d862dcfca8e427f256f533fe1306d04cc8891110f908ad2c268e28c47,0.05982093415338906,-1.8927498965204825,cold,matched_random_selective,15,1.0,original_e4,0
