actual_2q_gates,budget,design_id,initial_depth_provenance,initial_p_reconstructed,instance_id,noise_level,random_rep_seed,realised_depth_provenance,realised_p,reduction,representation,restart_id,source_row,source_sha256
223,256,design_e8e67f77c7df82f43ac7,floor(recorded_budget/recorded_per_layer_gates),3,inst_023cdc8fe68bc010af3e4b8267ac107052b34378aa9702e637d696f06b410084,realistic_high,2026082713,archived_p_column,3,0,matched_random_selective,2,55,eeca4da12aedd27f188b848963b293786e4cea91f5f528cacda8e99d7697e202
223,256,design_e8e67f77c7df82f43ac7,floor(recorded_budget/recorded_per_layer_gates),3,inst_023cdc8fe68bc010af3e4b8267ac107052b34378aa9702e637d696f06b410084,noiseless,2026082714,archived_p_column,3,0,matched_random_selective,0,56,eeca4da12aedd27f188b848963b293786e4cea91f5f528cacda8e99d7697e202
223,256,design_e8e67f77c7df82f43ac7,floor(recorded_budget/recorded_per_layer_gates),3,inst_023cdc8fe68bc010af3e4b8267ac107052b34378aa9702e637d696f06b410084,realistic_low,2026082714,archived_p_column,3,0,matched_random_selective,0,57,eeca4da12aedd27f188b848963b293786e4cea91f5f528cacda8e99d7697e202
223,256,design_e8e67f77c7df82f43ac7,floor(recorded_budget/recorded_per_layer_gates),3,inst_023cdc8fe68bc010af3e4b8267ac107052b34378aa9702e637d696f06b410084,realistic_high,2026082714,archived_p_column,3,0,matched_random_selective,0,58,eeca4da12aedd27f188b848963b293786e4cea91f5f528cacda8e99d7697e202
223,256,design_e8e67f77c7df82f43ac7,floor(recorded_budget/recorded_per_layer_gates),3,inst_023cdc8fe68bc010af3e4b8267ac107052b34378aa9702e637d696f06b410084,noiseless,2026082714,archived_p_column,3,0,matched_random_selective,1,59,eeca4da12aedd27f188b848963b293786e4cea91f5f528cacda8e99d7697e202
223,256,design_e8e67f77c7df82f43ac7,floor(recorded_budget/recorded_per_layer_gates),3,inst_023cdc8fe68bc010af3e4b8267ac107052b34378aa9702e637d696f06b410084,realistic_low,2026082714,archived_p_column,3,0,matched_random_selective,1,60,eeca4da12aedd27f188b848963b293786e4cea91f5f528cacda8e99d7697e202
223,256,design_e8e67f77c7df82f43ac7,floor(recorded_budget/recorded_per_layer_gates),3,inst_023cdc8fe68bc010af3e4b8267ac107052b34378aa9702e637d696f06b410084,realistic_high,2026082714,archived_p_column,3,0,matched_random_selective,1,61,eeca4da12aedd27f188b848963b293786e4cea91f5f528cacda8e99d7697e202
223,256,design_e8e67f77c7df82f43ac7,floor(recorded_budget/recorded_per_layer_gates),3,inst_023cdc8fe68bc010af3e4b8267ac107052b34378aa9702e637d696f06b410084,noiseless,2026082714,archived_p_column,3,0,matched_random_selective,2,62,eeca4da12aedd27f188b848963b293786e4cea91f5f528cacda8e99d7697e202
223,256,design_e8e67f77c7df82f43ac7,floor(recorded_budget/recorded_per_layer_gates),3,inst_023cdc8fe68bc010af3e4b8267ac107052b34378aa9702e637d696f06b410084,realistic_low,2026082714,archived_p_column,3,0,matched_random_selective,2,63,eeca4da12aedd27f188b848963b293786e4cea91f5f528cacda8e99d7697e202
223,256,design_e8e67f77c7df82f43ac7,floor(recorded_budget/recorded_per_layer_gates),3,inst_023cdc8fe68bc010af3e4b8267ac107052b34378aa9702e637d696f06b410084,realistic_high,2026082714,archived_p_column,3,0,matched_random_selective,2,64,eeca4da12aedd27f188b848963b293786e4cea91f5f528cacda8e99d7697e202
