auxiliary_inconsistency_rate,budget_key,encoded_energy_mean,family,instance_id,optimum_hit_rate,original_objective_mean,representation
0.0,equal_layer_p2,-1.9836671972580924,cubic_spin_glass,inst_68182ec61906beaeaf985399446793651206286ca861e2884f2f8538db8f65f6,0.3304407606296133,-1.9836671972580924,all_native
0.9095083191883772,equal_2q_budget_128,37.37395823959483,cubic_spin_glass,inst_68182ec61906beaeaf985399446793651206286ca861e2884f2f8538db8f65f6,0.1684784392809098,-0.5406422753915165,fully_quadratized
0.8856973927047095,equal_2q_budget_256,33.77500539997491,cubic_spin_glass,inst_68182ec61906beaeaf985399446793651206286ca861e2884f2f8538db8f65f6,0.14936975265545596,-0.38098538971312923,fully_quadratized
0.9055783183115155,equal_layer_p1,35.08512909843316,cubic_spin_glass,inst_68182ec61906beaeaf985399446793651206286ca861e2884f2f8538db8f65f6,0.15306476010452733,-0.28917364222059305,fully_quadratized
0.9286767140211366,equal_layer_p2,40.798358928330316,cubic_spin_glass,inst_68182ec61906beaeaf985399446793651206286ca861e2884f2f8538db8f65f6,0.14927183047778994,-0.5190854080056642,fully_quadratized
0.0,equal_2q_budget_128,-2.4281897656796128,cubic_spin_glass,inst_68182ec61906beaeaf985399446793651206286ca861e2884f2f8538db8f65f6,0.4542275991541264,-2.4281897656796128,matched_random_selective
0.0,equal_2q_budget_256,-2.094121710995398,cubic_spin_glass,inst_68182ec61906beaeaf985399446793651206286ca861e2884f2f8538db8f65f6,0.41045031039570234,-2.094121710995398,matched_random_selective
0.0,equal_layer_p1,-1.7793992098756497,cubic_spin_glass,inst_68182ec61906beaeaf985399446793651206286ca861e2884f2f8538db8f65f6,0.3254881968488622,-1.7793992098756497,matched_random_selective
0.0,equal_layer_p2,-2.2513682696812487,cubic_spin_glass,inst_68182ec61906beaeaf985399446793651206286ca861e2884f2f8538db8f65f6,0.3911410208065382,-2.2513682696812487,matched_random_selective
0.0,equal_2q_budget_128,-2.6843826683187455,cubic_spin_glass,inst_68182ec61906beaeaf985399446793651206286ca861e2884f2f8538db8f65f6,0.4931849588332146,-2.6843826683187455,selective
0.0,equal_2q_budget_256,-2.025232158327501,cubic_spin_glass,inst_68182ec61906beaeaf985399446793651206286ca861e2884f2f8538db8f65f6,0.3833789936416872,-2.025232158327501,selective
0.0,equal_layer_p1,-1.4151762403865913,cubic_spin_glass,inst_68182ec61906beaeaf985399446793651206286ca861e2884f2f8538db8f65f6,0.2629442138285899,-1.4151762403865913,selective
0.0,equal_layer_p2,-2.321232544195468,cubic_spin_glass,inst_68182ec61906beaeaf985399446793651206286ca861e2884f2f8538db8f65f6,0.39428505244312023,-2.321232544195468,selective
0.0,equal_2q_budget_128,-2.6029591949266027,cubic_spin_glass,inst_afdec9931581f1401d0b64eac7696464cbd188be6cf8c292ebc7f1d853f0ce57,0.04216815692776497,-2.6029591949266027,all_native
0.0,equal_2q_budget_256,-4.610761659475042,cubic_spin_glass,inst_afdec9931581f1401d0b64eac7696464cbd188be6cf8c292ebc7f1d853f0ce57,0.08729407845021801,-4.610761659475042,all_native
0.0,equal_layer_p1,-3.8110286693577087,cubic_spin_glass,inst_afdec9931581f1401d0b64eac7696464cbd188be6cf8c292ebc7f1d853f0ce57,0.052710998219692495,-3.8110286693577087,all_native
0.0,equal_layer_p2,-2.6897269122463343,cubic_spin_glass,inst_afdec9931581f1401d0b64eac7696464cbd188be6cf8c292ebc7f1d853f0ce57,0.052657998244223465,-2.6897269122463343,all_native
0.8749999999999999,equal_2q_budget_128,60.24999999999998,cubic_spin_glass,inst_afdec9931581f1401d0b64eac7696464cbd188be6cf8c292ebc7f1d853f0ce57,0.011718749999999998,-2.7755575615628914e-17,fully_quadratized
0.8667072170635288,equal_2q_budget_256,59.26107697220683,cubic_spin_glass,inst_afdec9931581f1401d0b64eac7696464cbd188be6cf8c292ebc7f1d853f0ce57,0.01935981609252863,-0.3121122472828151,fully_quadratized
0.8648068239322141,equal_layer_p1,74.11206468093361,cubic_spin_glass,inst_afdec9931581f1401d0b64eac7696464cbd188be6cf8c292ebc7f1d853f0ce57,0.01713962606379129,-0.6947455227964561,fully_quadratized
0.9064458748857578,equal_layer_p2,71.88649834168586,cubic_spin_glass,inst_afdec9931581f1401d0b64eac7696464cbd188be6cf8c292ebc7f1d853f0ce57,0.018004055711074825,-0.4311827962525278,fully_quadratized
0.0,equal_2q_budget_128,-1.8947105848267278,cubic_spin_glass,inst_afdec9931581f1401d0b64eac7696464cbd188be6cf8c292ebc7f1d853f0ce57,0.03398225558249684,-1.8947105848267278,matched_random_selective
