budget_key,ci95_high,ci95_low,ci_method,ci_status,ci_unit,contrast,depth_stratum,df,family,mean,metric,multiplicity,n_instances,representation,scope,sd,study,zero_depth_instance_count
equal_layer_p2,0.12048003740295396,-0.04735173721122402,two_sided_Student_t_95_df_n_minus_1,estimated,raw_instance,original_only_minus_cold,all_scheduled,6,cubic_spin_glass,0.036564150095864965,optimum_hit_rate,unadjusted_exploratory,7,all_native,all_designs_diagnostic,0.09073500901063906,original_e4,0
equal_layer_p2,0.0,0.0,two_sided_Student_t_95_df_n_minus_1,estimated,raw_instance,original_only_minus_cold,all_scheduled,6,cubic_spin_glass,0.0,auxiliary_inconsistency_rate,unadjusted_exploratory,7,all_native,all_designs_diagnostic,0.0,original_e4,0
equal_layer_p2,4.953758022240871e-16,-4.636551443776539e-16,two_sided_Student_t_95_df_n_minus_1,estimated,raw_instance,original_only_minus_cold,all_scheduled,6,cubic_spin_glass,1.586032892321652e-17,statevector_norm,unadjusted_exploratory,7,all_native,all_designs_diagnostic,5.184815675186197e-16,original_e4,0
equal_layer_p2,0.5338878642727469,-0.6010276654399429,two_sided_Student_t_95_df_n_minus_1,estimated,raw_instance,original_only_minus_cold,positive_depth_only,6,cubic_spin_glass,-0.033569900583598,original_objective_mean,unadjusted_exploratory,7,all_native,all_designs_diagnostic,0.6135701719863477,original_e4,0
equal_layer_p2,0.5338878642727469,-0.6010276654399429,two_sided_Student_t_95_df_n_minus_1,estimated,raw_instance,original_only_minus_cold,positive_depth_only,6,cubic_spin_glass,-0.033569900583598,encoded_energy_mean,unadjusted_exploratory,7,all_native,all_designs_diagnostic,0.6135701719863477,original_e4,0
equal_layer_p2,0.12048003740295396,-0.04735173721122402,two_sided_Student_t_95_df_n_minus_1,estimated,raw_instance,original_only_minus_cold,positive_depth_only,6,cubic_spin_glass,0.036564150095864965,optimum_hit_rate,unadjusted_exploratory,7,all_native,all_designs_diagnostic,0.09073500901063906,original_e4,0
equal_layer_p2,0.0,0.0,two_sided_Student_t_95_df_n_minus_1,estimated,raw_instance,original_only_minus_cold,positive_depth_only,6,cubic_spin_glass,0.0,auxiliary_inconsistency_rate,unadjusted_exploratory,7,all_native,all_designs_diagnostic,0.0,original_e4,0
equal_layer_p2,4.953758022240871e-16,-4.636551443776539e-16,two_sided_Student_t_95_df_n_minus_1,estimated,raw_instance,original_only_minus_cold,positive_depth_only,6,cubic_spin_glass,1.586032892321652e-17,statevector_norm,unadjusted_exploratory,7,all_native,all_designs_diagnostic,5.184815675186197e-16,original_e4,0
equal_2q_budget_128,0.27987167445291994,-0.3242621009054223,two_sided_Student_t_95_df_n_minus_1,estimated,raw_instance,independence_minus_cold,all_scheduled,6,cubic_spin_glass,-0.022195213226251197,original_objective_mean,unadjusted_exploratory,7,fully_quadratized,all_designs_diagnostic,0.32661326305334715,original_e4,2
equal_2q_budget_128,0.5698810167952111,-12.721289990415924,two_sided_Student_t_95_df_n_minus_1,estimated,raw_instance,independence_minus_cold,all_scheduled,6,cubic_spin_glass,-6.0757044868103565,encoded_energy_mean,unadjusted_exploratory,7,fully_quadratized,all_designs_diagnostic,7.185615023577125,original_e4,2
equal_2q_budget_128,0.03649979253446234,-0.018964082454262603,two_sided_Student_t_95_df_n_minus_1,estimated,raw_instance,independence_minus_cold,all_scheduled,6,cubic_spin_glass,0.008767855040099866,optimum_hit_rate,unadjusted_exploratory,7,fully_quadratized,all_designs_diagnostic,0.029985473301679444,original_e4,2
equal_2q_budget_128,0.023683007568706838,-0.10413464280572346,two_sided_Student_t_95_df_n_minus_1,estimated,raw_instance,independence_minus_cold,all_scheduled,6,cubic_spin_glass,-0.04022581761850831,auxiliary_inconsistency_rate,unadjusted_exploratory,7,fully_quadratized,all_designs_diagnostic,0.06910214519928527,original_e4,2
