budget_key,ci95_high,ci95_low,ci_method,ci_status,ci_unit,depth_stratum,df,family,mean,metric,multiplicity,n_instances,policy,representation,scope,sd,study,zero_depth_instance_count
equal_layer_p1,-1.2827569625440132,-2.489989273707482,two_sided_Student_t_95_df_n_minus_1,estimated,raw_instance,all_scheduled,6,cubic_spin_glass,-1.8863731181257477,original_objective_mean,unadjusted_exploratory,7,original_only,all_native,all_designs_diagnostic,0.6526668438271908,original_e4,0
equal_layer_p1,-1.2827569625440132,-2.489989273707482,two_sided_Student_t_95_df_n_minus_1,estimated,raw_instance,all_scheduled,6,cubic_spin_glass,-1.8863731181257477,encoded_energy_mean,unadjusted_exploratory,7,original_only,all_native,all_designs_diagnostic,0.6526668438271908,original_e4,0
equal_layer_p1,0.21946817644282715,0.012338543625081022,two_sided_Student_t_95_df_n_minus_1,estimated,raw_instance,all_scheduled,6,cubic_spin_glass,0.11590336003395409,optimum_hit_rate,unadjusted_exploratory,7,original_only,all_native,all_designs_diagnostic,0.11198063741680116,original_e4,0
equal_layer_p1,0.0,0.0,two_sided_Student_t_95_df_n_minus_1,estimated,raw_instance,all_scheduled,6,cubic_spin_glass,0.0,auxiliary_inconsistency_rate,unadjusted_exploratory,7,original_only,all_native,all_designs_diagnostic,0.0,original_e4,0
equal_layer_p1,1.0000000000000007,0.9999999999999997,two_sided_Student_t_95_df_n_minus_1,estimated,raw_instance,all_scheduled,6,cubic_spin_glass,1.0000000000000002,statevector_norm,unadjusted_exploratory,7,original_only,all_native,all_designs_diagnostic,5.768888059150692e-16,original_e4,0
equal_layer_p1,-1.5584373239003562,-3.136521955730734,two_sided_Student_t_95_df_n_minus_1,estimated,raw_instance,positive_depth_only,6,cubic_spin_glass,-2.347479639815545,original_objective_mean,unadjusted_exploratory,7,cold,all_native,all_designs_diagnostic,0.8531609918196278,original_e4,0
equal_layer_p1,-1.5584373239003562,-3.136521955730734,two_sided_Student_t_95_df_n_minus_1,estimated,raw_instance,positive_depth_only,6,cubic_spin_glass,-2.347479639815545,encoded_energy_mean,unadjusted_exploratory,7,cold,all_native,all_designs_diagnostic,0.8531609918196278,original_e4,0
equal_layer_p1,0.2693207762625118,-0.013425938580822527,two_sided_Student_t_95_df_n_minus_1,estimated,raw_instance,positive_depth_only,6,cubic_spin_glass,0.12794741884084462,optimum_hit_rate,unadjusted_exploratory,7,cold,all_native,all_designs_diagnostic,0.1528615530522506,original_e4,0
equal_layer_p1,0.0,0.0,two_sided_Student_t_95_df_n_minus_1,estimated,raw_instance,positive_depth_only,6,cubic_spin_glass,0.0,auxiliary_inconsistency_rate,unadjusted_exploratory,7,cold,all_native,all_designs_diagnostic,0.0,original_e4,0
equal_layer_p1,1.0000000000000004,1.0,two_sided_Student_t_95_df_n_minus_1,estimated,raw_instance,positive_depth_only,6,cubic_spin_glass,1.0000000000000002,statevector_norm,unadjusted_exploratory,7,cold,all_native,all_designs_diagnostic,1.3917382147355022e-16,original_e4,0
equal_layer_p1,-1.2827569625440132,-2.489989273707482,two_sided_Student_t_95_df_n_minus_1,estimated,raw_instance,positive_depth_only,6,cubic_spin_glass,-1.8863731181257477,original_objective_mean,unadjusted_exploratory,7,original_only,all_native,all_designs_diagnostic,0.6526668438271908,original_e4,0
equal_layer_p1,-1.2827569625440132,-2.489989273707482,two_sided_Student_t_95_df_n_minus_1,estimated,raw_instance,positive_depth_only,6,cubic_spin_glass,-1.8863731181257477,encoded_energy_mean,unadjusted_exploratory,7,original_only,all_native,all_designs_diagnostic,0.6526668438271908,original_e4,0
equal_layer_p1,0.21946817644282715,0.012338543625081022,two_sided_Student_t_95_df_n_minus_1,estimated,raw_instance,positive_depth_only,6,cubic_spin_glass,0.11590336003395409,optimum_hit_rate,unadjusted_exploratory,7,original_only,all_native,all_designs_diagnostic,0.11198063741680116,original_e4,0
equal_layer_p1,0.0,0.0,two_sided_Student_t_95_df_n_minus_1,estimated,raw_instance,positive_depth_only,6,cubic_spin_glass,0.0,auxiliary_inconsistency_rate,unadjusted_exploratory,7,original_only,all_native,all_designs_diagnostic,0.0,original_e4,0
equal_layer_p1,1.0000000000000007,0.9999999999999997,two_sided_Student_t_95_df_n_minus_1,estimated,raw_instance,positive_depth_only,6,cubic_spin_glass,1.0000000000000002,statevector_norm,unadjusted_exploratory,7,original_only,all_native,all_designs_diagnostic,5.768888059150692e-16,original_e4,0
equal_layer_p2,-1.597550245828651,-3.6394638451843777,two_sided_Student_t_95_df_n_minus_1,estimated,raw_instance,all_scheduled,6,cubic_spin_glass,-2.6185070455065143,original_objective_mean,unadjusted_exploratory,7,cold,all_native,all_designs_diagnostic,1.103921169053985,original_e4,0
equal_layer_p2,-1.597550245828651,-3.6394638451843777,two_sided_Student_t_95_df_n_minus_1,estimated,raw_instance,all_scheduled,6,cubic_spin_glass,-2.6185070455065143,encoded_energy_mean,unadjusted_exploratory,7,cold,all_native,all_designs_diagnostic,1.103921169053985,original_e4,0
equal_layer_p2,0.3252668517424758,-0.003512128991330854,two_sided_Student_t_95_df_n_minus_1,estimated,raw_instance,all_scheduled,6,cubic_spin_glass,0.1608773613755725,optimum_hit_rate,unadjusted_exploratory,7,cold,all_native,all_designs_diagnostic,0.17774800896892007,original_e4,0
equal_layer_p2,0.0,0.0,two_sided_Student_t_95_df_n_minus_1,estimated,raw_instance,all_scheduled,6,cubic_spin_glass,0.0,auxiliary_inconsistency_rate,unadjusted_exploratory,7,cold,all_native,all_designs_diagnostic,0.0,original_e4,0
equal_layer_p2,1.0000000000000007,0.9999999999999998,two_sided_Student_t_95_df_n_minus_1,estimated,raw_instance,all_scheduled,6,cubic_spin_glass,1.0000000000000002,statevector_norm,unadjusted_exploratory,7,cold,all_native,all_designs_diagnostic,4.2724872656102426e-16,original_e4,0
equal_layer_p2,-1.521013862778386,-3.7831400294018382,two_sided_Student_t_95_df_n_minus_1,estimated,raw_instance,all_scheduled,6,cubic_spin_glass,-2.652076946090112,original_objective_mean,unadjusted_exploratory,7,original_only,all_native,all_designs_diagnostic,1.222974842419631,original_e4,0
equal_layer_p2,-1.521013862778386,-3.7831400294018382,two_sided_Student_t_95_df_n_minus_1,estimated,raw_instance,all_scheduled,6,cubic_spin_glass,-2.652076946090112,encoded_energy_mean,unadjusted_exploratory,7,original_only,all_native,all_designs_diagnostic,1.222974842419631,original_e4,0
equal_layer_p2,0.3623645841655319,0.03251843877734295,two_sided_Student_t_95_df_n_minus_1,estimated,raw_instance,all_scheduled,6,cubic_spin_glass,0.19744151147143743,optimum_hit_rate,unadjusted_exploratory,7,original_only,all_native,all_designs_diagnostic,0.1783249509380663,original_e4,0
equal_layer_p2,0.0,0.0,two_sided_Student_t_95_df_n_minus_1,estimated,raw_instance,all_scheduled,6,cubic_spin_glass,0.0,auxiliary_inconsistency_rate,unadjusted_exploratory,7,original_only,all_native,all_designs_diagnostic,0.0,original_e4,0
equal_layer_p2,1.0000000000000007,0.9999999999999998,two_sided_Student_t_95_df_n_minus_1,estimated,raw_instance,all_scheduled,6,cubic_spin_glass,1.0000000000000002,statevector_norm,unadjusted_exploratory,7,original_only,all_native,all_designs_diagnostic,5.047141111338362e-16,original_e4,0
equal_layer_p2,-1.597550245828651,-3.6394638451843777,two_sided_Student_t_95_df_n_minus_1,estimated,raw_instance,positive_depth_only,6,cubic_spin_glass,-2.6185070455065143,original_objective_mean,unadjusted_exploratory,7,cold,all_native,all_designs_diagnostic,1.103921169053985,original_e4,0
equal_layer_p2,-1.597550245828651,-3.6394638451843777,two_sided_Student_t_95_df_n_minus_1,estimated,raw_instance,positive_depth_only,6,cubic_spin_glass,-2.6185070455065143,encoded_energy_mean,unadjusted_exploratory,7,cold,all_native,all_designs_diagnostic,1.103921169053985,original_e4,0
equal_layer_p2,0.3252668517424758,-0.003512128991330854,two_sided_Student_t_95_df_n_minus_1,estimated,raw_instance,positive_depth_only,6,cubic_spin_glass,0.1608773613755725,optimum_hit_rate,unadjusted_exploratory,7,cold,all_native,all_designs_diagnostic,0.17774800896892007,original_e4,0
equal_layer_p2,0.0,0.0,two_sided_Student_t_95_df_n_minus_1,estimated,raw_instance,positive_depth_only,6,cubic_spin_glass,0.0,auxiliary_inconsistency_rate,unadjusted_exploratory,7,cold,all_native,all_designs_diagnostic,0.0,original_e4,0
equal_layer_p2,1.0000000000000007,0.9999999999999998,two_sided_Student_t_95_df_n_minus_1,estimated,raw_instance,positive_depth_only,6,cubic_spin_glass,1.0000000000000002,statevector_norm,unadjusted_exploratory,7,cold,all_native,all_designs_diagnostic,4.2724872656102426e-16,original_e4,0
equal_layer_p2,-1.521013862778386,-3.7831400294018382,two_sided_Student_t_95_df_n_minus_1,estimated,raw_instance,positive_depth_only,6,cubic_spin_glass,-2.652076946090112,original_objective_mean,unadjusted_exploratory,7,original_only,all_native,all_designs_diagnostic,1.222974842419631,original_e4,0
equal_layer_p2,-1.521013862778386,-3.7831400294018382,two_sided_Student_t_95_df_n_minus_1,estimated,raw_instance,positive_depth_only,6,cubic_spin_glass,-2.652076946090112,encoded_energy_mean,unadjusted_exploratory,7,original_only,all_native,all_designs_diagnostic,1.222974842419631,original_e4,0
equal_layer_p2,0.3623645841655319,0.03251843877734295,two_sided_Student_t_95_df_n_minus_1,estimated,raw_instance,positive_depth_only,6,cubic_spin_glass,0.19744151147143743,optimum_hit_rate,unadjusted_exploratory,7,original_only,all_native,all_designs_diagnostic,0.1783249509380663,original_e4,0
