instance_id,family,representation,common_feasible_cohort_id,transpiler_seed_count,two_qubit_gates_mean,two_qubit_depth_mean,swap_count_mean,routing_overhead_mean,compile_runtime_sec_mean,config_hash,manifest_hash,code_commit
inst_53dec71c3e2fae0bd3971cba514a32e1708dd7cd2ca9764224bca5022a248a7e,cubic_spin_glass,selective,sparse_common_feasible_9f8fccc5aaf5b9bb,5,35.0,31.0,3.0,3.0,0.006268439994892105,c1fe6ddb0aa5e0bd75dbc46707e2824bbe199bac82b2d766160294ce56353d99,9626c07cf4ccf3251a3585a4b367551c7a78f57218970c0d71f73f221adea5d3,e3b6d0cb9f3dc2e46f831caf5ce716f12b7a883a
inst_5683a8170815775476c0c3080ab79c1cfd47561fea54e8872321c0e570d236f8,max3sat,all_native,sparse_common_feasible_9f8fccc5aaf5b9bb,5,73.6,63.6,8.4,15.6,0.007728820000193082,c1fe6ddb0aa5e0bd75dbc46707e2824bbe199bac82b2d766160294ce56353d99,9626c07cf4ccf3251a3585a4b367551c7a78f57218970c0d71f73f221adea5d3,e3b6d0cb9f3dc2e46f831caf5ce716f12b7a883a
inst_5683a8170815775476c0c3080ab79c1cfd47561fea54e8872321c0e570d236f8,max3sat,fully_quadratized,sparse_common_feasible_9f8fccc5aaf5b9bb,5,72.4,47.6,9.2,24.4,0.006324600000516512,c1fe6ddb0aa5e0bd75dbc46707e2824bbe199bac82b2d766160294ce56353d99,9626c07cf4ccf3251a3585a4b367551c7a78f57218970c0d71f73f221adea5d3,e3b6d0cb9f3dc2e46f831caf5ce716f12b7a883a
inst_5683a8170815775476c0c3080ab79c1cfd47561fea54e8872321c0e570d236f8,max3sat,selective,sparse_common_feasible_9f8fccc5aaf5b9bb,5,73.6,63.6,8.4,15.6,0.016628800006583334,c1fe6ddb0aa5e0bd75dbc46707e2824bbe199bac82b2d766160294ce56353d99,9626c07cf4ccf3251a3585a4b367551c7a78f57218970c0d71f73f221adea5d3,e3b6d0cb9f3dc2e46f831caf5ce716f12b7a883a
inst_59d47f0711e495d090f7fe436c47b3444643657d19e1e4fc567b971685dcb3e2,cubic_spin_glass,all_native,sparse_common_feasible_9f8fccc5aaf5b9bb,5,38.8,30.6,4.0,6.8,0.007121519994689152,c1fe6ddb0aa5e0bd75dbc46707e2824bbe199bac82b2d766160294ce56353d99,9626c07cf4ccf3251a3585a4b367551c7a78f57218970c0d71f73f221adea5d3,e3b6d0cb9f3dc2e46f831caf5ce716f12b7a883a
inst_59d47f0711e495d090f7fe436c47b3444643657d19e1e4fc567b971685dcb3e2,cubic_spin_glass,fully_quadratized,sparse_common_feasible_9f8fccc5aaf5b9bb,5,79.8,50.8,9.8,27.8,0.007993419998092577,c1fe6ddb0aa5e0bd75dbc46707e2824bbe199bac82b2d766160294ce56353d99,9626c07cf4ccf3251a3585a4b367551c7a78f57218970c0d71f73f221adea5d3,e3b6d0cb9f3dc2e46f831caf5ce716f12b7a883a
inst_59d47f0711e495d090f7fe436c47b3444643657d19e1e4fc567b971685dcb3e2,cubic_spin_glass,selective,sparse_common_feasible_9f8fccc5aaf5b9bb,5,38.8,30.6,4.0,6.8,0.006800799997290596,c1fe6ddb0aa5e0bd75dbc46707e2824bbe199bac82b2d766160294ce56353d99,9626c07cf4ccf3251a3585a4b367551c7a78f57218970c0d71f73f221adea5d3,e3b6d0cb9f3dc2e46f831caf5ce716f12b7a883a
inst_623ed3fa24dead6f0f9dd1096cce82dc9a048bf774730e23b964d7d43607fd83,cubic_spin_glass,all_native,sparse_common_feasible_9f8fccc5aaf5b9bb,5,46.6,38.4,5.8,14.6,0.007197399999131449,c1fe6ddb0aa5e0bd75dbc46707e2824bbe199bac82b2d766160294ce56353d99,9626c07cf4ccf3251a3585a4b367551c7a78f57218970c0d71f73f221adea5d3,e3b6d0cb9f3dc2e46f831caf5ce716f12b7a883a
inst_623ed3fa24dead6f0f9dd1096cce82dc9a048bf774730e23b964d7d43607fd83,cubic_spin_glass,fully_quadratized,sparse_common_feasible_9f8fccc5aaf5b9bb,5,84.4,58.6,11.2,30.4,0.007081580001977272,c1fe6ddb0aa5e0bd75dbc46707e2824bbe199bac82b2d766160294ce56353d99,9626c07cf4ccf3251a3585a4b367551c7a78f57218970c0d71f73f221adea5d3,e3b6d0cb9f3dc2e46f831caf5ce716f12b7a883a
inst_623ed3fa24dead6f0f9dd1096cce82dc9a048bf774730e23b964d7d43607fd83,cubic_spin_glass,selective,sparse_common_feasible_9f8fccc5aaf5b9bb,5,46.6,38.4,5.8,14.6,0.006231860001571476,c1fe6ddb0aa5e0bd75dbc46707e2824bbe199bac82b2d766160294ce56353d99,9626c07cf4ccf3251a3585a4b367551c7a78f57218970c0d71f73f221adea5d3,e3b6d0cb9f3dc2e46f831caf5ce716f12b7a883a
