instance_id,family,split,representation_class,selected_design_id,unguarded_design_id,guardrail_changed_design,selected_normalised_fibre_excess,unguarded_normalised_fibre_excess,resource_score_degradation,candidate_count,moment_sha256
inst_01a9f1f2842d775846c878d43106d19ed43c1bfbe918e748b13470b82daaf78e,cubic_spin_glass,train,all_native,fibre_design_97feebf13ebdd66935da,fibre_design_97feebf13ebdd66935da,False,0.0,0.0,0.0,4096,a616f44ca5e6c07c82c11de7281cac55d42d7be7ff51af6a8545949331ed45b1
inst_03fb9b57a6dce56e8aa5338559e7d2041bf1c85c0c8032542e21c29ca024e1dc,max3sat,train,mixed_selective,fibre_design_203f37543de90a766150,fibre_design_eb33a9217c3684c69264,True,0.00431034483045977,0.048491379322557475,0.015885416666666666,1024,4ce1b69f81973b28baf3c1a5caf4ba683839ef5b59bed5bb43ee2c0d62b638a6
inst_0434852d0e4bbbb6edc67f1a83f9235d3f150efab1e9f63ee316ef80112685d3,max3sat,train,mixed_selective,fibre_design_f3daec30b4b42c1761d0,fibre_design_340555c80005e60e9091,True,0.01957831324943524,0.04819277108057229,0.011197916666666667,4096,a9ae92feb39e2d1d83710cbf482721575f7bba9a945d1e6d62b472a583563e40
inst_0814a7f7209be13ad388d27539bcc139991e38e27e4109df932f9f2de6d1fb26,max3sat,train,fully_reduced,fibre_design_432ab2cb1842d3037b47,fibre_design_432ab2cb1842d3037b47,False,0.016447368417763158,0.016447368417763158,0.0,65536,f6e63a8dcfb3b79443c346452c2b4cd1c8b606691b71a00171f613915ea98ad1
inst_0bdf06213b0c1e415e6c0a81524e96b9851ee0dc28195e16ab9709770c9c0a09,max3sat,train,fully_reduced,fibre_design_6cb520fee4871831b2e4,fibre_design_6cb520fee4871831b2e4,False,0.019345238093690473,0.019345238093690473,0.0,16384,f68603c26c1107a3024a03b04743d1ea1effdb37685066c0aeb09d1d4a7a35e7
inst_0f7871f37dcd4ef84cf9455a90e11b827d46367515b165688ef404b08d63104f,max3sat,validation,mixed_selective,fibre_design_3b3bbe650f755c58648b,fibre_design_1c8d7a1432993785e091,True,0.015679253437717013,0.02088758676584201,0.0203125,16384,38c96760d463576f0ae6e1781557e0f34d838ee3a20a379ad26c8368e9b7c01c
inst_10ca5aecf714abb0b674a9eef82f020a79bf22927cabfbb4326e9c5809e6543d,cubic_spin_glass,train,all_native,fibre_design_7948ef61f04a882affbb,fibre_design_7948ef61f04a882affbb,False,0.0,0.0,0.0,16384,41ba0fbef408cd215b0a4affc60b03d99787036336f4e30463b331270d3bbdf7
inst_180785c07fe5da0a6002c7eb0dca0888faae7967d7ce35621d5dd5a4887463d9,cubic_spin_glass,train,all_native,fibre_design_7948ef61f04a882affbb,fibre_design_7948ef61f04a882affbb,False,0.0,0.0,0.0,16384,05b5712b2dd197b0885e658ed08705c2da5450c0b69f2e879c9520a2b67c8810
inst_207178134690f4e7e3f8009eb86a8760f5f7ead2031e35396a586eb03232ad7a,max3sat,train,mixed_selective,fibre_design_ec88ff5cc2b258077197,fibre_design_a988bd42e028019d5c5e,True,0.018115942028985508,0.06114130434782609,0.03177083333333333,4096,d866772379096a4082726dd3d262996594471867ce3c20b6bd468ffbf4650e7e
inst_220100abb31a5a97f11076f61def95465ec3ae5b771dee099dcf27d9858cb925,cubic_spin_glass,train,all_native,fibre_design_ed574e6bbc2fa787fa38,fibre_design_ed574e6bbc2fa787fa38,False,0.0,0.0,0.0,1024,37762f7da0001480c4dc7313a33c1353252eac566bfc1814c312f4727d6c8ce0
inst_226fdd648638f346d8c8ce3a521d8c0545d5c6656a32e80e743f6e6a87b9b1c2,max3sat,train,mixed_selective,fibre_design_ec137445b768a3130dcb,fibre_design_ec137445b768a3130dcb,False,0.019711538460336537,0.019711538460336537,0.0,1024,9c5f58cde39c0131dc1e4af2f7efd48299e7421fb8137530b9ce1641309718d6
inst_2379e14a2ecd995141f6cb52002415b226897f742dc05a48c25f2a138ea01ff6,max3sat,validation,mixed_selective,fibre_design_05947311c22ae60bc27b,fibre_design_05947311c22ae60bc27b,False,0.0,0.0,0.0,1024,a5190468752094dc035a6ed270115bfffd1a6e514ed3a9cf401c91187610190c
inst_267cea339d25d63c2dfdfd0142ba348ce5b691570cb2b8256297897aa421c42d,max3sat,train,mixed_selective,fibre_design_86aa75927fa2f718a543,fibre_design_86aa75927fa2f718a543,False,0.019622093023255814,0.019622093023255814,0.0,16384,62a806bc5577432628b4a1521b9987f7960e4fa306ec3e3a2e79eaf34293f3ac
inst_2b016e49b538f8ca80033f3b4973a5987bfdf7e185410fca0d70b333466148c3,cubic_spin_glass,train,all_native,fibre_design_ed574e6bbc2fa787fa38,fibre_design_ed574e6bbc2fa787fa38,False,0.0,0.0,0.0,1024,24caf6f07147029e5613edf48580522d3e22c5761fbb884f6c213d5a369f0cdf
inst_2b83ac21eebb333f8c921741025cbd0f667e822b95fe0f48df9ace5d1c24b648,max3sat,train,mixed_selective,fibre_design_ba290d4eb2c1ac6fd1b0,fibre_design_8a4886928b97b315a529,True,0.015190972216037319,0.02314814813870804,0.01328125,4096,f225acda4b1349c0043adf14c6da87f9e1d5cdda54d653be0a58a6c5b876c367
inst_36cbe7c7ff482cf067ac85b26b77d95829f38df4cfae8a5a3330935f8ff18abd,max3sat,train,mixed_selective,fibre_design_965382c29fd9e7269478,fibre_design_592b998fcfab2326b667,True,0.015046296293595678,0.03385416664911265,0.021354166666666667,16384,9befc3558c4eb139ffdbc726ab020befc762d2b6a7f11d486289c6594653bb14
inst_402d4d26a63bce1a325563709284a8d564d3b9db81b22e5717b1cdd769af109d,max3sat,validation,fully_reduced,fibre_design_d2870a9c51a778a1cace,fibre_design_d2870a9c51a778a1cace,False,0.016882183906249997,0.016882183906249997,0.0,16384,207289a917ae82e93c7a4247e5f921ab32166f4e273b40f96af30087086cad88
