instance_id,family,n_original,active_auxiliary_count,median_abs_single_margin,mean_active_pair_dependence,relaxation_objective,moment_sha256,screening_source,config_hash
inst_dae92571c4f08663a43b40cb34d207efe58437fd3e16d848e752f5a2280f848c,cubic_spin_glass,10,2,0.0,0.25,-51.999999999,b0babc8968c5df178bcf76e8c24418e14586deae05f20b847f4df1d4554d1c29,relaxation_signal_only,dcae3585519be308040729bc8a4548c06f46493af50e454b389165349380c632
inst_c86fe35343ab2c9394a6c9f37b8a810ee3710551ba14b9cf81983f01142f1227,cubic_spin_glass,6,3,0.0,0.2499999999861112,-43.99999999900001,cff00a486165e203dca105d876c8c82a9244c0c8cd5d31ed91d65337f65e26bd,relaxation_signal_only,dcae3585519be308040729bc8a4548c06f46493af50e454b389165349380c632
inst_6de7ff03fd3a60b17a635644a80e3c2890795fceec6bd49ab053f1d94eae46fa,cubic_spin_glass,10,1,0.0,0.12500000003571443,-77.49999999899998,0876ea6fab4d777d5ec02d6d13ea11731de50a0b9db812e7e44b26275c797910,relaxation_signal_only,dcae3585519be308040729bc8a4548c06f46493af50e454b389165349380c632
inst_8024dbda0f7de5189254ad4ee6feb8e22263710e6c27cea27e3a1f561e3dbd08,cubic_spin_glass,6,4,0.16666666665350882,0.11111111111988309,-28.666666665666675,36f6f390f6765ae1052e097989717b57cd33b32360857dfa8a0814594525f4ad,relaxation_signal_only,dcae3585519be308040729bc8a4548c06f46493af50e454b389165349380c632
inst_86249d275389177154fbd322df02dda585971634aab68cccd5c8640ccebe7390,cubic_spin_glass,8,4,0.0,0.19374999997916675,-57.99999999900001,d074de1db59cdb010f480cc6591aaaa467b3243fad422001cc644b18825d553b,relaxation_signal_only,dcae3585519be308040729bc8a4548c06f46493af50e454b389165349380c632
inst_fd183ec8831ff94e1e0c406a5a5bc12b4f3a419769567861578caf2ba6c12b81,cubic_spin_glass,10,2,0.0,0.2499999999583332,-103.99999999899998,52f9d3c7cfc85322e87aeb0dd314035772d2593ed8f852f0690694652a149f60,relaxation_signal_only,dcae3585519be308040729bc8a4548c06f46493af50e454b389165349380c632
inst_e0163519284b54b5ea0e26c30d2408f3a25eb7580d9ac53d9b4943d02c2b0176,cubic_spin_glass,6,5,0.16666666665666663,0.1111111111177778,-28.666666665666668,73cd734c2984c0123e23a6f59eb41bb0c5e7698c5fa5b7e48abf5f1e9b7a87d4,relaxation_signal_only,dcae3585519be308040729bc8a4548c06f46493af50e454b389165349380c632
inst_8e5a7354a8a83ce264cf046e1bae55d602bc50887eaab00e80960fee8e042bca,cubic_spin_glass,8,4,1.5625056803969528e-11,0.24999999999218747,-71.999999999,85f06cbd1a4cf466eb530ccc7d8716921ba8513758967a92df4a1317c6a96bb8,relaxation_signal_only,dcae3585519be308040729bc8a4548c06f46493af50e454b389165349380c632
inst_616468a632899d8b508be320cd7145d18205825cf6b865b159f24a2b19562761,cubic_spin_glass,6,3,0.16666666664880947,0.11111111112301592,-29.333333332333325,738b9467672d5db8b24f80deca9ae39b914fd51536339dc6c02807f98c9aed2c,relaxation_signal_only,dcae3585519be308040729bc8a4548c06f46493af50e454b389165349380c632
inst_fb350fa93d05cfd38db8aaef33b2ff0edf017843a78a0e77f092cdb6f0698dd6,cubic_spin_glass,8,4,6.250067130508796e-11,0.24999999989062383,-47.999999998999996,17341b8fe58cc82454c2c6d329b710ddf4c65ea3325c918e72359b1c87b5d692,relaxation_signal_only,dcae3585519be308040729bc8a4548c06f46493af50e454b389165349380c632
inst_f1f1cba34a8eef13accfc860ead9c95ea3a23d3459a2624a9385bf020755321b,cubic_spin_glass,10,2,0.0,0.24999999987500043,-55.999999999,3ef3a0aa165fbc45a820f72c672ed100abd9187e7cf1977a3a0e112079efe9bd,relaxation_signal_only,dcae3585519be308040729bc8a4548c06f46493af50e454b389165349380c632
inst_1041e3ea07759516f6f51c41746705e4ec8a26bc21280ffe1f52fb7788b06abe,cubic_spin_glass,6,3,0.0,0.24999999998148156,-43.999999999,2d47ca8501e1c1b085d90af883b8f81757780838f2f529ca8d01ecd3bf882e0c,relaxation_signal_only,dcae3585519be308040729bc8a4548c06f46493af50e454b389165349380c632
inst_f811fb828e789eb545a9d4eb7a5762c6f9adb31ead6026e412a13906f91f9b8c,cubic_spin_glass,8,3,0.0,0.25,-75.99999999899998,05af873a06c355bf3666ddf465670708c3d99cd12c77ceb633b177800885c01b,relaxation_signal_only,dcae3585519be308040729bc8a4548c06f46493af50e454b389165349380c632
inst_8992ce4fdc75bfa56f221304c65a4ec417b624f60ae8db628d9988cc808e7b4e,cubic_spin_glass,8,2,0.0,0.12500000024999913,-30.499999999000003,30bfe5e7770d2b676768d95439bac2fd031f9f3edd247f97f9af40933b60c232,relaxation_signal_only,dcae3585519be308040729bc8a4548c06f46493af50e454b389165349380c632
inst_1ca3e269aecc3d744c55d8438c4af1fc61c802cdcbe9a6c4d1eced1b64a344f0,cubic_spin_glass,10,2,0.0,0.25,-36.999999999,179fc4b048592656d3629d283af85bdae31dc880ddb894a2733dff081ae2fc1f,relaxation_signal_only,dcae3585519be308040729bc8a4548c06f46493af50e454b389165349380c632
inst_ed658117d6a1413fb3d5570a4f9791c0549626f74eb8c98344e1f69e3f4f7a02,cubic_spin_glass,6,3,0.0,0.2499999999861112,-47.99999999900001,3d49e2da04a21542ae9eba39b327dd6dc37d4f2671d2556d455c005dc01a1f8f,relaxation_signal_only,dcae3585519be308040729bc8a4548c06f46493af50e454b389165349380c632
inst_e7a7b2a1e5bbe8669bea18307ccf0b9d3bc76f5165b1e8f4a75c15ee48c7d9d1,cubic_spin_glass,8,4,0.0,0.24999999997500008,-59.999999999,3cb81330e79855100105d83bad37498ee4b52db1887fdd5e8475fc1faeeb9396,relaxation_signal_only,dcae3585519be308040729bc8a4548c06f46493af50e454b389165349380c632
inst_df9115c29f19ca83f3ca217a5132f1340cd46304a0da53e190c86e73d3214424,cubic_spin_glass,6,3,0.0,0.24999999999404765,-47.999999998999996,fe9952b5d45f709af0938733de002cbc72e244d3419156122b4a4c9b2ddb0253,relaxation_signal_only,dcae3585519be308040729bc8a4548c06f46493af50e454b389165349380c632
inst_8dbbd2b319bba3ab196b31981ca4f54b966058fb94d4573a023015b3586a748a,cubic_spin_glass,8,4,0.0,0.24999999996666677,-59.999999998999996,21fc4d14ef0dcd797e6dfde58ed00a4beb7285f9495a0a3dbc517ca52253f3d4,relaxation_signal_only,dcae3585519be308040729bc8a4548c06f46493af50e454b389165349380c632
inst_8be90a01329dc0ef976884eee580e867051ee10ae66bd26bdeb2b832a7d1edc2,cubic_spin_glass,6,3,0.0,0.2499999999861112,-39.999999999,03d218b330056f5bef46b5039281ad665d04fd7995e68aee6d83ad2f64d22400,relaxation_signal_only,dcae3585519be308040729bc8a4548c06f46493af50e454b389165349380c632
inst_b1a36f886837f7c146100e7114eba3905f21e4b93d028f79813b8d1993042141,cubic_spin_glass,8,4,0.0,0.2499999999750001,-57.999999999,3d12ef6e2087b39c0c2c7a41d7b45d7faa0c16a7040bec89e60fd286c5efa453,relaxation_signal_only,dcae3585519be308040729bc8a4548c06f46493af50e454b389165349380c632
inst_8b3e0cc388c4a8195e302a42dda67393cc453a1caa4820092cc04d8675b4cfd0,cubic_spin_glass,10,1,0.0,0.25,-75.99999999899998,0a016e45121435577595391f59317be24f0bddfbdb60bfd3130bdeceb9bdfeb8,relaxation_signal_only,dcae3585519be308040729bc8a4548c06f46493af50e454b389165349380c632
inst_62b263366aea919d517c2f93ca115172513231d3560708bd9c151acff1dca2da,cubic_spin_glass,10,2,0.0,0.25,-37.999999999,53366a63f162335acd104c3ed6f8e213ee195b165e23c8601e0735563aaf2c9a,relaxation_signal_only,dcae3585519be308040729bc8a4548c06f46493af50e454b389165349380c632
inst_501f35a009a21e9de0aa7d7e1152c81055124638309d34e6deea1da6e535c2cd,cubic_spin_glass,10,2,0.16666666666666674,0.11111111052778591,-34.666666665666675,491463206d4375c3623d27cd2a166bb6692da2b40dae43e8bd450628d43d37e5,relaxation_signal_only,dcae3585519be308040729bc8a4548c06f46493af50e454b389165349380c632
inst_647fc59f021defe935bd8ee11a510708cf3fc3124f4e22a2abd837e494349523,cubic_spin_glass,6,3,0.0,0.2499999999861112,-39.999999999,9127353ce944bfbf4159bf5f229d0afd962fb3a4c393faf053743d3986355d94,relaxation_signal_only,dcae3585519be308040729bc8a4548c06f46493af50e454b389165349380c632
