family,instance_id,n_design_draws,representation,routing_overhead,swap_count,topology_id,two_qubit_depth,two_qubit_gates
cubic_spin_glass,inst_1f1fc2972a067dd5ad79a2770384dc5867b18b0cf6ed6f50bf88e0b0af724532,1,selective,0.0,0.0,all_to_all_reference,65.0,148.0
cubic_spin_glass,inst_23322d07d78ec2442f79a933696c3d2708be62e01712e6cae79bb131a75b314c,1,all_native,0.0,0.0,all_to_all_reference,102.0,128.0
cubic_spin_glass,inst_23322d07d78ec2442f79a933696c3d2708be62e01712e6cae79bb131a75b314c,1,fully_quadratized,0.0,0.0,all_to_all_reference,60.0,176.0
cubic_spin_glass,inst_23322d07d78ec2442f79a933696c3d2708be62e01712e6cae79bb131a75b314c,5,matched_random_selective,0.0,0.0,all_to_all_reference,104.4,143.2
cubic_spin_glass,inst_23322d07d78ec2442f79a933696c3d2708be62e01712e6cae79bb131a75b314c,1,selective,0.0,0.0,all_to_all_reference,72.0,154.0
cubic_spin_glass,inst_2578bb3c4c83da80aec8fb5980e49dedc3450aae4bbc14c0eabca47881b8a912,1,all_native,0.0,0.0,all_to_all_reference,102.0,128.0
cubic_spin_glass,inst_2578bb3c4c83da80aec8fb5980e49dedc3450aae4bbc14c0eabca47881b8a912,1,fully_quadratized,0.0,0.0,all_to_all_reference,52.0,170.0
cubic_spin_glass,inst_2578bb3c4c83da80aec8fb5980e49dedc3450aae4bbc14c0eabca47881b8a912,5,matched_random_selective,0.0,0.0,all_to_all_reference,102.8,150.4
cubic_spin_glass,inst_2578bb3c4c83da80aec8fb5980e49dedc3450aae4bbc14c0eabca47881b8a912,1,selective,0.0,0.0,all_to_all_reference,47.0,136.0
cubic_spin_glass,inst_28501defa541901199d0158698324fd95f401371b2edf79721692768a6c991e2,1,all_native,0.0,0.0,all_to_all_reference,137.0,192.0
cubic_spin_glass,inst_28501defa541901199d0158698324fd95f401371b2edf79721692768a6c991e2,1,fully_quadratized,0.0,0.0,all_to_all_reference,48.0,192.0
cubic_spin_glass,inst_28501defa541901199d0158698324fd95f401371b2edf79721692768a6c991e2,5,matched_random_selective,0.0,0.0,all_to_all_reference,131.4,234.4
cubic_spin_glass,inst_28501defa541901199d0158698324fd95f401371b2edf79721692768a6c991e2,1,selective,0.0,0.0,all_to_all_reference,73.0,212.0
cubic_spin_glass,inst_29626af5a49c14ecc2c2040c11341eeaa8dded055a83fdf07387d51f5846dda9,1,all_native,0.0,0.0,all_to_all_reference,197.0,256.0
