family,instance_id,representation,routing_overhead,swap_count,topology_id,two_qubit_depth,two_qubit_gates
cubic_spin_glass,inst_340b7c11203c8b094cacd70e68df48254aa477b67ecdea9afb9cc374b8dcb4a7,selective,0.0,0.0,all_to_all_reference,-145.0,48.0
cubic_spin_glass,inst_340b7c11203c8b094cacd70e68df48254aa477b67ecdea9afb9cc374b8dcb4a7,matched_random_selective,0.0,0.0,all_to_all_reference,-4.800000000000011,40.39999999999998
cubic_spin_glass,inst_341aaea9cc6b648e49be42c5a9a85c286aa8e35d42e20fd993b487fdda2e28cb,fully_quadratized,0.0,0.0,all_to_all_reference,3.0,30.0
cubic_spin_glass,inst_341aaea9cc6b648e49be42c5a9a85c286aa8e35d42e20fd993b487fdda2e28cb,selective,0.0,0.0,all_to_all_reference,0.0,0.0
cubic_spin_glass,inst_341aaea9cc6b648e49be42c5a9a85c286aa8e35d42e20fd993b487fdda2e28cb,matched_random_selective,0.0,0.0,all_to_all_reference,0.0,0.0
cubic_spin_glass,inst_457a1b897247007214daca60d4caf6ae6d0341f6d1e25c03ef72a4651794688d,fully_quadratized,0.0,0.0,all_to_all_reference,-11.0,40.0
cubic_spin_glass,inst_457a1b897247007214daca60d4caf6ae6d0341f6d1e25c03ef72a4651794688d,selective,0.0,0.0,all_to_all_reference,0.0,0.0
cubic_spin_glass,inst_457a1b897247007214daca60d4caf6ae6d0341f6d1e25c03ef72a4651794688d,matched_random_selective,0.0,0.0,all_to_all_reference,0.0,0.0
cubic_spin_glass,inst_475335f157ee1891b40b8f710155777516f4d877098145d0ddce1fce297c55df,fully_quadratized,0.0,0.0,all_to_all_reference,-55.0,24.0
cubic_spin_glass,inst_475335f157ee1891b40b8f710155777516f4d877098145d0ddce1fce297c55df,selective,0.0,0.0,all_to_all_reference,-28.0,12.0
cubic_spin_glass,inst_475335f157ee1891b40b8f710155777516f4d877098145d0ddce1fce297c55df,matched_random_selective,0.0,0.0,all_to_all_reference,-9.599999999999994,28.400000000000006
cubic_spin_glass,inst_495d19a3dc95e6442e097c14165743aa29452a251454dd12686b0b682caddf2c,fully_quadratized,0.0,0.0,all_to_all_reference,-42.0,80.0
cubic_spin_glass,inst_495d19a3dc95e6442e097c14165743aa29452a251454dd12686b0b682caddf2c,selective,0.0,0.0,all_to_all_reference,-31.0,20.0
cubic_spin_glass,inst_495d19a3dc95e6442e097c14165743aa29452a251454dd12686b0b682caddf2c,matched_random_selective,0.0,0.0,all_to_all_reference,4.799999999999997,8.400000000000006
cubic_spin_glass,inst_532ca52e0bd47ef393cd0da8c1c69dadce16850b3ef6b9be0dad7c95b2678c55,fully_quadratized,0.0,0.0,all_to_all_reference,-33.0,34.0
cubic_spin_glass,inst_532ca52e0bd47ef393cd0da8c1c69dadce16850b3ef6b9be0dad7c95b2678c55,selective,0.0,0.0,all_to_all_reference,-23.0,12.0
cubic_spin_glass,inst_532ca52e0bd47ef393cd0da8c1c69dadce16850b3ef6b9be0dad7c95b2678c55,matched_random_selective,0.0,0.0,all_to_all_reference,1.0,22.400000000000006
cubic_spin_glass,inst_53dec71c3e2fae0bd3971cba514a32e1708dd7cd2ca9764224bca5022a248a7e,fully_quadratized,0.0,0.0,all_to_all_reference,-1.0,24.0
cubic_spin_glass,inst_53dec71c3e2fae0bd3971cba514a32e1708dd7cd2ca9764224bca5022a248a7e,selective,0.0,0.0,all_to_all_reference,0.0,0.0
cubic_spin_glass,inst_53dec71c3e2fae0bd3971cba514a32e1708dd7cd2ca9764224bca5022a248a7e,matched_random_selective,0.0,0.0,all_to_all_reference,0.0,0.0
cubic_spin_glass,inst_55970a6e9882c541702aea4a808a177a8682c2746c2513cea2cf4365dad37c3c,fully_quadratized,0.0,0.0,all_to_all_reference,-18.0,50.0
cubic_spin_glass,inst_55970a6e9882c541702aea4a808a177a8682c2746c2513cea2cf4365dad37c3c,selective,0.0,0.0,all_to_all_reference,0.0,0.0
cubic_spin_glass,inst_55970a6e9882c541702aea4a808a177a8682c2746c2513cea2cf4365dad37c3c,matched_random_selective,0.0,0.0,all_to_all_reference,0.0,0.0
cubic_spin_glass,inst_58ad673a89921951e0c8e74f76be469f6804253269d061917d2f9cddbfde19f0,fully_quadratized,0.0,0.0,all_to_all_reference,-61.0,28.0
cubic_spin_glass,inst_58ad673a89921951e0c8e74f76be469f6804253269d061917d2f9cddbfde19f0,selective,0.0,0.0,all_to_all_reference,-37.0,20.0
cubic_spin_glass,inst_58ad673a89921951e0c8e74f76be469f6804253269d061917d2f9cddbfde19f0,matched_random_selective,0.0,0.0,all_to_all_reference,-9.400000000000006,33.19999999999999
cubic_spin_glass,inst_59d47f0711e495d090f7fe436c47b3444643657d19e1e4fc567b971685dcb3e2,fully_quadratized,0.0,0.0,all_to_all_reference,1.0,20.0
cubic_spin_glass,inst_59d47f0711e495d090f7fe436c47b3444643657d19e1e4fc567b971685dcb3e2,selective,0.0,0.0,all_to_all_reference,0.0,0.0
cubic_spin_glass,inst_59d47f0711e495d090f7fe436c47b3444643657d19e1e4fc567b971685dcb3e2,matched_random_selective,0.0,0.0,all_to_all_reference,0.0,0.0
cubic_spin_glass,inst_5e7c8d0ae78fb3fcd9e50f45870af4ef1698195119adfcdb8c7bf1699215879b,fully_quadratized,0.0,0.0,all_to_all_reference,-1.0,38.0
cubic_spin_glass,inst_5e7c8d0ae78fb3fcd9e50f45870af4ef1698195119adfcdb8c7bf1699215879b,selective,0.0,0.0,all_to_all_reference,0.0,0.0
cubic_spin_glass,inst_5e7c8d0ae78fb3fcd9e50f45870af4ef1698195119adfcdb8c7bf1699215879b,matched_random_selective,0.0,0.0,all_to_all_reference,0.0,0.0
cubic_spin_glass,inst_5e84026f5ef89b88de9d4b994118f120646ed7435887f0713ffd0b2f2cd5428d,fully_quadratized,0.0,0.0,all_to_all_reference,6.0,52.0
cubic_spin_glass,inst_5e84026f5ef89b88de9d4b994118f120646ed7435887f0713ffd0b2f2cd5428d,selective,0.0,0.0,all_to_all_reference,0.0,0.0
cubic_spin_glass,inst_5e84026f5ef89b88de9d4b994118f120646ed7435887f0713ffd0b2f2cd5428d,matched_random_selective,0.0,0.0,all_to_all_reference,0.0,0.0
cubic_spin_glass,inst_5f65d193d7b5370c9379fde1b52bfef9bc19e4da666d19b2e186471b1e77bf32,fully_quadratized,0.0,0.0,all_to_all_reference,-4.0,40.0
cubic_spin_glass,inst_5f65d193d7b5370c9379fde1b52bfef9bc19e4da666d19b2e186471b1e77bf32,selective,0.0,0.0,all_to_all_reference,0.0,0.0
cubic_spin_glass,inst_5f65d193d7b5370c9379fde1b52bfef9bc19e4da666d19b2e186471b1e77bf32,matched_random_selective,0.0,0.0,all_to_all_reference,0.0,0.0
cubic_spin_glass,inst_6188a8a06666ee362b7faa5959f7d36cf41943034d8c1f96a7e40d30b687a953,fully_quadratized,0.0,0.0,all_to_all_reference,-37.0,198.0
cubic_spin_glass,inst_6188a8a06666ee362b7faa5959f7d36cf41943034d8c1f96a7e40d30b687a953,selective,0.0,0.0,all_to_all_reference,-17.0,10.0
cubic_spin_glass,inst_6188a8a06666ee362b7faa5959f7d36cf41943034d8c1f96a7e40d30b687a953,matched_random_selective,0.0,0.0,all_to_all_reference,1.0,8.800000000000011
cubic_spin_glass,inst_620a5d32d7187d6870f30ec729690f838c6c03717c12d08920f9cb1a5c444ccd,fully_quadratized,0.0,0.0,all_to_all_reference,-22.0,52.0
cubic_spin_glass,inst_620a5d32d7187d6870f30ec729690f838c6c03717c12d08920f9cb1a5c444ccd,selective,0.0,0.0,all_to_all_reference,-21.0,8.0
cubic_spin_glass,inst_620a5d32d7187d6870f30ec729690f838c6c03717c12d08920f9cb1a5c444ccd,matched_random_selective,0.0,0.0,all_to_all_reference,-1.4000000000000057,8.0
cubic_spin_glass,inst_623ed3fa24dead6f0f9dd1096cce82dc9a048bf774730e23b964d7d43607fd83,fully_quadratized,0.0,0.0,all_to_all_reference,3.0,22.0
cubic_spin_glass,inst_623ed3fa24dead6f0f9dd1096cce82dc9a048bf774730e23b964d7d43607fd83,selective,0.0,0.0,all_to_all_reference,0.0,0.0
cubic_spin_glass,inst_623ed3fa24dead6f0f9dd1096cce82dc9a048bf774730e23b964d7d43607fd83,matched_random_selective,0.0,0.0,all_to_all_reference,0.0,0.0
cubic_spin_glass,inst_629843195526c2b817edb433d2bf81dc1c9d7d1b6b358890ba16bbbcd422ab15,fully_quadratized,0.0,0.0,all_to_all_reference,4.0,66.0
cubic_spin_glass,inst_629843195526c2b817edb433d2bf81dc1c9d7d1b6b358890ba16bbbcd422ab15,selective,0.0,0.0,all_to_all_reference,0.0,0.0
cubic_spin_glass,inst_629843195526c2b817edb433d2bf81dc1c9d7d1b6b358890ba16bbbcd422ab15,matched_random_selective,0.0,0.0,all_to_all_reference,0.0,0.0
cubic_spin_glass,inst_64ff32844bde505ea188f6df7a2e54fe41e88061d38144bbd304285bc823e766,fully_quadratized,0.0,0.0,all_to_all_reference,15.0,36.0
cubic_spin_glass,inst_64ff32844bde505ea188f6df7a2e54fe41e88061d38144bbd304285bc823e766,selective,0.0,0.0,all_to_all_reference,0.0,0.0
cubic_spin_glass,inst_64ff32844bde505ea188f6df7a2e54fe41e88061d38144bbd304285bc823e766,matched_random_selective,0.0,0.0,all_to_all_reference,0.0,0.0
cubic_spin_glass,inst_67f4e4fa7cd1382fcc03d558ad19ac0420a74e3749bd90c0167e795417192422,fully_quadratized,0.0,0.0,all_to_all_reference,-45.0,208.0
cubic_spin_glass,inst_67f4e4fa7cd1382fcc03d558ad19ac0420a74e3749bd90c0167e795417192422,selective,0.0,0.0,all_to_all_reference,-53.0,32.0
cubic_spin_glass,inst_67f4e4fa7cd1382fcc03d558ad19ac0420a74e3749bd90c0167e795417192422,matched_random_selective,0.0,0.0,all_to_all_reference,-2.5999999999999943,33.19999999999999
cubic_spin_glass,inst_6969ca061e6a5a0b4350ccfb99da5386eb70d23ece3e7ffa0101e3a9c6305d74,fully_quadratized,0.0,0.0,all_to_all_reference,-13.0,50.0
cubic_spin_glass,inst_6969ca061e6a5a0b4350ccfb99da5386eb70d23ece3e7ffa0101e3a9c6305d74,selective,0.0,0.0,all_to_all_reference,0.0,0.0
cubic_spin_glass,inst_6969ca061e6a5a0b4350ccfb99da5386eb70d23ece3e7ffa0101e3a9c6305d74,matched_random_selective,0.0,0.0,all_to_all_reference,0.0,0.0
cubic_spin_glass,inst_6a06eec6c612c29ba46b89da361fc8b89d4e4e985e548b9c5d20da503d9b6f95,fully_quadratized,0.0,0.0,all_to_all_reference,-112.0,74.0
cubic_spin_glass,inst_6a06eec6c612c29ba46b89da361fc8b89d4e4e985e548b9c5d20da503d9b6f95,selective,0.0,0.0,all_to_all_reference,-67.0,34.0
cubic_spin_glass,inst_6a06eec6c612c29ba46b89da361fc8b89d4e4e985e548b9c5d20da503d9b6f95,matched_random_selective,0.0,0.0,all_to_all_reference,-21.400000000000006,54.400000000000006
cubic_spin_glass,inst_6ad9548a92747aff9a6795f1c5b99d2304f005ac72fb8084bdc0b85e2e6b4c72,fully_quadratized,0.0,0.0,all_to_all_reference,-75.0,4.0
cubic_spin_glass,inst_6ad9548a92747aff9a6795f1c5b99d2304f005ac72fb8084bdc0b85e2e6b4c72,selective,0.0,0.0,all_to_all_reference,-40.0,10.0
cubic_spin_glass,inst_6ad9548a92747aff9a6795f1c5b99d2304f005ac72fb8084bdc0b85e2e6b4c72,matched_random_selective,0.0,0.0,all_to_all_reference,-9.599999999999994,29.19999999999999
cubic_spin_glass,inst_6b16c179affcc9148d858478cbc1dac715c4665ff957ce51abd50e9aa1408c4b,fully_quadratized,0.0,0.0,all_to_all_reference,-22.0,52.0
cubic_spin_glass,inst_6b16c179affcc9148d858478cbc1dac715c4665ff957ce51abd50e9aa1408c4b,selective,0.0,0.0,all_to_all_reference,-20.0,8.0
cubic_spin_glass,inst_6b16c179affcc9148d858478cbc1dac715c4665ff957ce51abd50e9aa1408c4b,matched_random_selective,0.0,0.0,all_to_all_reference,0.7999999999999972,8.0
