family,instance_id,routing_overhead,swap_count,topology_id,two_qubit_depth,two_qubit_gates
cubic_spin_glass,inst_7716434047cb9a3a78813351309803842d97d8ee66b37f8923c41d7969c1c58a,0.0,0.0,all_to_all_reference,-22.400000000000006,-17.599999999999994
cubic_spin_glass,inst_7c46ab9828c14c80ecbb7d6d499d693814b74054db5e4e07d7a39ee4b775bb50,0.0,0.0,all_to_all_reference,-33.400000000000006,3.5999999999999943
cubic_spin_glass,inst_7efab38b2e0155b0b8445fdfed32c7e06e3901e3e22e1d8f40f9b35350aa66a9,0.0,0.0,all_to_all_reference,-19.599999999999994,0.39999999999997726
cubic_spin_glass,inst_7f7a436339b87b34cb27d5c721ed3c7eefb780ae1f65c12c15de9645b48ed437,0.0,0.0,all_to_all_reference,0.0,0.0
cubic_spin_glass,inst_7f90e24a78f8a26d1a801c170cc595d5d7669882dcba292c4b15aa6b53b3dacf,0.0,0.0,all_to_all_reference,0.0,0.0
cubic_spin_glass,inst_7fb1bfed3cb150b9c82f88f49613843c766218e213329cc38e12264c97c15eba,0.0,0.0,all_to_all_reference,-63.19999999999999,-9.600000000000023
cubic_spin_glass,inst_8603e288413e6a8d06805f7acb84ae33701f1b6b8cd108dd5b9386188f286531,0.0,0.0,all_to_all_reference,-14.400000000000006,-0.4000000000000057
cubic_spin_glass,inst_8c4d9776efa0c93c2c9988f4c062d82692051281f1990acd2fc48a9536215c36,0.0,0.0,all_to_all_reference,-51.599999999999994,2.4000000000000057
cubic_spin_glass,inst_90ea5a2894cc294c32ec161d76b831ad4079fdcbaaad0e421851b5fa6f8561ba,0.0,0.0,all_to_all_reference,-69.6,-8.400000000000006
cubic_spin_glass,inst_92eb60bbccda5c5e3e2562b302edd076ac50a62aeb4d3709272c6303eeb1a61b,0.0,0.0,all_to_all_reference,0.0,0.0
cubic_spin_glass,inst_9ba2a7792551103e6e69b98c0de1119c32118930928fc10d75a1e7d657dd1bcf,0.0,0.0,all_to_all_reference,0.0,0.0
cubic_spin_glass,inst_9bce13272818b61594dbc28dec9d8b84d5c90a5cff1574a18f881703e17ad0f7,0.0,0.0,all_to_all_reference,0.0,0.0
cubic_spin_glass,inst_a281a70cf3027da7a09f4adaf7e6e96f50074205fe7b5bd1aab52f03a994e7f0,0.0,0.0,all_to_all_reference,0.0,0.0
cubic_spin_glass,inst_a4679bc36e70ceabe07c23d07c304c011669cd7cd6dd39977860e971d22b5bae,0.0,0.0,all_to_all_reference,0.0,0.0
cubic_spin_glass,inst_af9b682406075901b4f377cea9bb6dda351c54f44f95fadd7be931c5565e5ee7,0.0,0.0,all_to_all_reference,0.0,0.0
cubic_spin_glass,inst_b4ee1e445e988b3bd6d55f528563578e122178c9757b5377ac9192f99996b923,0.0,0.0,all_to_all_reference,-112.19999999999999,-4.399999999999977
cubic_spin_glass,inst_b6bffeaedeb53019eec1c8bec5d768c3b2d9013ec18b83f60ee9a2ef0ca455da,0.0,0.0,all_to_all_reference,0.0,0.0
cubic_spin_glass,inst_b732278acd92c203b9a27e0bcc5d32b417c737bd33781646533636e270b41e97,0.0,0.0,all_to_all_reference,0.0,0.0
cubic_spin_glass,inst_badadd6b960880e69de1e4a1077d644ec987b1efaeac187f421a7f530b78f797,0.0,0.0,all_to_all_reference,-27.599999999999994,0.0
cubic_spin_glass,inst_bb9ea8526f4f8c3163389b1dd29737c6dc55d4b10908c16cd989bbf99598ae9b,0.0,0.0,all_to_all_reference,-77.4,-13.599999999999994
cubic_spin_glass,inst_bd91654b426322e8e5eeb5aeae69692f9e01419f8ff43e2242b156e1ee054dd2,0.0,0.0,all_to_all_reference,-35.599999999999994,-27.19999999999999
cubic_spin_glass,inst_c2e05f7c3075c3aad73660a0712a836e2e081e148a56e82b9e52e010e4099cc2,0.0,0.0,all_to_all_reference,-19.400000000000006,-17.19999999999999
cubic_spin_glass,inst_c4e35a1cfc403513d25de62f5a1ade08c0f44afc5635ef5ba336e817a5f95387,0.0,0.0,all_to_all_reference,-69.80000000000001,2.8000000000000114
cubic_spin_glass,inst_c4f7f15fb4d34d0c48ee7c85dea7e846efc521f79aba3f47e9cb971bff038a3c,0.0,0.0,all_to_all_reference,-110.80000000000001,1.1999999999999886
