analysis_config_hash,budget_key,budget_mode,canonical_cubic_sparsity,classification,code_commit,comparison,config_hash,control_mean,control_observation_count,effect,effect_ci95_high,effect_ci95_low,effect_tolerance,failure_kind,family,instance_id,manifest_hash,metric,n_original_diagnostic,pair_reuse_bin,pair_reuse_score,paired_observation_count,selected_mean,selected_observation_count,sign_balance_diagnostic,source_tier,sparsity_bin,split,status,topology_id,uncertainty_rule
e3ade62c2d1568a6686439927f821e8d4321e46286156daf59fd75b31c85a222,not_applicable,not_applicable,0.09545454545454546,little_effect,fa5bbbbb0644b007176fe5727d36f66b969e5c8b,selective_vs_matched_random_selective,9d124ad72c0fe2b841fbfc927ec45c35cb413a6a0e01baada17f1025709d315c,0.0,25,0.0,0.0,0.0,0.05,,max3sat,inst_1fd1e3af188a3ea1adf4c52be504c18998f9987176e8145c96535d8607f79e50,9626c07cf4ccf3251a3585a4b367551c7a78f57218970c0d71f73f221adea5d3,routing_overhead,12,intermediate,0.39682539682539686,5,0.0,5,0.6666666666666666,compilation,intermediate,test,pass,all_to_all_reference,paired_normal_interval_by_transpiler_seed
e3ade62c2d1568a6686439927f821e8d4321e46286156daf59fd75b31c85a222,not_applicable,not_applicable,0.09545454545454546,not_estimable,fa5bbbbb0644b007176fe5727d36f66b969e5c8b,selective_vs_matched_random_selective,9d124ad72c0fe2b841fbfc927ec45c35cb413a6a0e01baada17f1025709d315c,,25,,,,0.05,width_exceeds_frozen_sparse_topology,max3sat,inst_1fd1e3af188a3ea1adf4c52be504c18998f9987176e8145c96535d8607f79e50,9626c07cf4ccf3251a3585a4b367551c7a78f57218970c0d71f73f221adea5d3,compiled_two_qubit_gates,12,intermediate,0.39682539682539686,0,,5,0.6666666666666666,compilation,intermediate,test,expected_infeasible,device_sparse_v1,not_estimable_expected_width_infeasible
e3ade62c2d1568a6686439927f821e8d4321e46286156daf59fd75b31c85a222,not_applicable,not_applicable,0.09545454545454546,not_estimable,fa5bbbbb0644b007176fe5727d36f66b969e5c8b,selective_vs_matched_random_selective,9d124ad72c0fe2b841fbfc927ec45c35cb413a6a0e01baada17f1025709d315c,,25,,,,0.05,width_exceeds_frozen_sparse_topology,max3sat,inst_1fd1e3af188a3ea1adf4c52be504c18998f9987176e8145c96535d8607f79e50,9626c07cf4ccf3251a3585a4b367551c7a78f57218970c0d71f73f221adea5d3,compiled_two_qubit_depth,12,intermediate,0.39682539682539686,0,,5,0.6666666666666666,compilation,intermediate,test,expected_infeasible,device_sparse_v1,not_estimable_expected_width_infeasible
e3ade62c2d1568a6686439927f821e8d4321e46286156daf59fd75b31c85a222,not_applicable,not_applicable,0.09545454545454546,not_estimable,fa5bbbbb0644b007176fe5727d36f66b969e5c8b,selective_vs_matched_random_selective,9d124ad72c0fe2b841fbfc927ec45c35cb413a6a0e01baada17f1025709d315c,,25,,,,0.05,width_exceeds_frozen_sparse_topology,max3sat,inst_1fd1e3af188a3ea1adf4c52be504c18998f9987176e8145c96535d8607f79e50,9626c07cf4ccf3251a3585a4b367551c7a78f57218970c0d71f73f221adea5d3,routing_overhead,12,intermediate,0.39682539682539686,0,,5,0.6666666666666666,compilation,intermediate,test,expected_infeasible,device_sparse_v1,not_estimable_expected_width_infeasible
e3ade62c2d1568a6686439927f821e8d4321e46286156daf59fd75b31c85a222,not_applicable,not_applicable,0.028070175438596492,help,fa5bbbbb0644b007176fe5727d36f66b969e5c8b,selective_vs_matched_random_selective,9d124ad72c0fe2b841fbfc927ec45c35cb413a6a0e01baada17f1025709d315c,259.2,25,0.33641975308641975,0.33641975308641975,0.33641975308641975,0.05,,max3sat,inst_1fdccd0ea073b5ce489dd04bf55aa58692c93d7a6e8030ea54f69d187a8b67bc,9626c07cf4ccf3251a3585a4b367551c7a78f57218970c0d71f73f221adea5d3,compiled_two_qubit_gates,20,intermediate,0.33333333333333337,5,172.0,5,0.5,compilation,low,test,pass,all_to_all_reference,paired_normal_interval_by_transpiler_seed
e3ade62c2d1568a6686439927f821e8d4321e46286156daf59fd75b31c85a222,not_applicable,not_applicable,0.028070175438596492,help,fa5bbbbb0644b007176fe5727d36f66b969e5c8b,selective_vs_matched_random_selective,9d124ad72c0fe2b841fbfc927ec45c35cb413a6a0e01baada17f1025709d315c,162.4,25,0.6428571428571429,0.6428571428571429,0.6428571428571429,0.05,,max3sat,inst_1fdccd0ea073b5ce489dd04bf55aa58692c93d7a6e8030ea54f69d187a8b67bc,9626c07cf4ccf3251a3585a4b367551c7a78f57218970c0d71f73f221adea5d3,compiled_two_qubit_depth,20,intermediate,0.33333333333333337,5,58.0,5,0.5,compilation,low,test,pass,all_to_all_reference,paired_normal_interval_by_transpiler_seed
e3ade62c2d1568a6686439927f821e8d4321e46286156daf59fd75b31c85a222,not_applicable,not_applicable,0.028070175438596492,little_effect,fa5bbbbb0644b007176fe5727d36f66b969e5c8b,selective_vs_matched_random_selective,9d124ad72c0fe2b841fbfc927ec45c35cb413a6a0e01baada17f1025709d315c,0.0,25,0.0,0.0,0.0,0.05,,max3sat,inst_1fdccd0ea073b5ce489dd04bf55aa58692c93d7a6e8030ea54f69d187a8b67bc,9626c07cf4ccf3251a3585a4b367551c7a78f57218970c0d71f73f221adea5d3,routing_overhead,20,intermediate,0.33333333333333337,5,0.0,5,0.5,compilation,low,test,pass,all_to_all_reference,paired_normal_interval_by_transpiler_seed
e3ade62c2d1568a6686439927f821e8d4321e46286156daf59fd75b31c85a222,not_applicable,not_applicable,0.028070175438596492,not_estimable,fa5bbbbb0644b007176fe5727d36f66b969e5c8b,selective_vs_matched_random_selective,9d124ad72c0fe2b841fbfc927ec45c35cb413a6a0e01baada17f1025709d315c,,25,,,,0.05,width_exceeds_frozen_sparse_topology,max3sat,inst_1fdccd0ea073b5ce489dd04bf55aa58692c93d7a6e8030ea54f69d187a8b67bc,9626c07cf4ccf3251a3585a4b367551c7a78f57218970c0d71f73f221adea5d3,compiled_two_qubit_gates,20,intermediate,0.33333333333333337,0,,5,0.5,compilation,low,test,expected_infeasible,device_sparse_v1,not_estimable_expected_width_infeasible
e3ade62c2d1568a6686439927f821e8d4321e46286156daf59fd75b31c85a222,not_applicable,not_applicable,0.028070175438596492,not_estimable,fa5bbbbb0644b007176fe5727d36f66b969e5c8b,selective_vs_matched_random_selective,9d124ad72c0fe2b841fbfc927ec45c35cb413a6a0e01baada17f1025709d315c,,25,,,,0.05,width_exceeds_frozen_sparse_topology,max3sat,inst_1fdccd0ea073b5ce489dd04bf55aa58692c93d7a6e8030ea54f69d187a8b67bc,9626c07cf4ccf3251a3585a4b367551c7a78f57218970c0d71f73f221adea5d3,compiled_two_qubit_depth,20,intermediate,0.33333333333333337,0,,5,0.5,compilation,low,test,expected_infeasible,device_sparse_v1,not_estimable_expected_width_infeasible
e3ade62c2d1568a6686439927f821e8d4321e46286156daf59fd75b31c85a222,not_applicable,not_applicable,0.028070175438596492,not_estimable,fa5bbbbb0644b007176fe5727d36f66b969e5c8b,selective_vs_matched_random_selective,9d124ad72c0fe2b841fbfc927ec45c35cb413a6a0e01baada17f1025709d315c,,25,,,,0.05,width_exceeds_frozen_sparse_topology,max3sat,inst_1fdccd0ea073b5ce489dd04bf55aa58692c93d7a6e8030ea54f69d187a8b67bc,9626c07cf4ccf3251a3585a4b367551c7a78f57218970c0d71f73f221adea5d3,routing_overhead,20,intermediate,0.33333333333333337,0,,5,0.5,compilation,low,test,expected_infeasible,device_sparse_v1,not_estimable_expected_width_infeasible
