scope,study,family,representation,budget_key,depth_stratum,policy,metric,n_instances,mean,sd,ci95_low,ci95_high,df,ci_status,zero_depth_instance_count,ci_unit,ci_method,multiplicity
all_designs_diagnostic,original_e4,cubic_spin_glass,all_native,equal_layer_p1,all_scheduled,cold,auxiliary_inconsistency_rate,7,0.0,0.0,0.0,0.0,6,estimated,0,raw_instance,two_sided_Student_t_95_df_n_minus_1,unadjusted_exploratory
all_designs_diagnostic,original_e4,cubic_spin_glass,all_native,equal_layer_p1,all_scheduled,cold,statevector_norm,7,1.0000000000000002,1.3917382147355022e-16,1.0,1.0000000000000004,6,estimated,0,raw_instance,two_sided_Student_t_95_df_n_minus_1,unadjusted_exploratory
all_designs_diagnostic,original_e4,cubic_spin_glass,all_native,equal_layer_p1,all_scheduled,original_only,original_objective_mean,7,-1.8863731181257477,0.6526668438271908,-2.489989273707482,-1.2827569625440132,6,estimated,0,raw_instance,two_sided_Student_t_95_df_n_minus_1,unadjusted_exploratory
all_designs_diagnostic,original_e4,cubic_spin_glass,all_native,equal_layer_p1,all_scheduled,original_only,encoded_energy_mean,7,-1.8863731181257477,0.6526668438271908,-2.489989273707482,-1.2827569625440132,6,estimated,0,raw_instance,two_sided_Student_t_95_df_n_minus_1,unadjusted_exploratory
all_designs_diagnostic,original_e4,cubic_spin_glass,all_native,equal_layer_p1,all_scheduled,original_only,optimum_hit_rate,7,0.11590336003395409,0.11198063741680116,0.012338543625081022,0.21946817644282715,6,estimated,0,raw_instance,two_sided_Student_t_95_df_n_minus_1,unadjusted_exploratory
all_designs_diagnostic,original_e4,cubic_spin_glass,all_native,equal_layer_p1,all_scheduled,original_only,auxiliary_inconsistency_rate,7,0.0,0.0,0.0,0.0,6,estimated,0,raw_instance,two_sided_Student_t_95_df_n_minus_1,unadjusted_exploratory
all_designs_diagnostic,original_e4,cubic_spin_glass,all_native,equal_layer_p1,all_scheduled,original_only,statevector_norm,7,1.0000000000000002,5.768888059150692e-16,0.9999999999999997,1.0000000000000007,6,estimated,0,raw_instance,two_sided_Student_t_95_df_n_minus_1,unadjusted_exploratory
all_designs_diagnostic,original_e4,cubic_spin_glass,all_native,equal_layer_p1,positive_depth_only,cold,original_objective_mean,7,-2.347479639815545,0.8531609918196278,-3.136521955730734,-1.5584373239003562,6,estimated,0,raw_instance,two_sided_Student_t_95_df_n_minus_1,unadjusted_exploratory
all_designs_diagnostic,original_e4,cubic_spin_glass,all_native,equal_layer_p1,positive_depth_only,cold,encoded_energy_mean,7,-2.347479639815545,0.8531609918196278,-3.136521955730734,-1.5584373239003562,6,estimated,0,raw_instance,two_sided_Student_t_95_df_n_minus_1,unadjusted_exploratory
all_designs_diagnostic,original_e4,cubic_spin_glass,all_native,equal_layer_p1,positive_depth_only,cold,optimum_hit_rate,7,0.12794741884084462,0.1528615530522506,-0.013425938580822527,0.2693207762625118,6,estimated,0,raw_instance,two_sided_Student_t_95_df_n_minus_1,unadjusted_exploratory
