study,family,instance_id,representation,budget_key,depth_stratum,contrast,draw_count,zero_depth_draw_count,original_objective_mean,encoded_energy_mean,optimum_hit_rate,auxiliary_inconsistency_rate,statevector_norm
targeted,cubic_spin_glass,inst_d796bb2832a607ab9991e780ba6ba381959a114de52b1fc6e98f6f0c5ae5ed90,selective,equal_layer_p1,all_scheduled,pair_minus_original_only,1,0,-0.42609715611256904,-8.834760504845718,0.0009674944911770545,-0.0443744163907942,0.0
targeted,cubic_spin_glass,inst_d796bb2832a607ab9991e780ba6ba381959a114de52b1fc6e98f6f0c5ae5ed90,selective,equal_layer_p1,all_scheduled,pair_minus_independence,1,0,-0.7409781352103102,3.4394957581507803,0.0005914111247693507,0.024597704663600783,6.661338147750939e-16
targeted,cubic_spin_glass,inst_d796bb2832a607ab9991e780ba6ba381959a114de52b1fc6e98f6f0c5ae5ed90,selective,equal_layer_p1,positive_depth_only,pair_minus_cold,1,0,-0.6274273696184025,-16.29836847815679,-0.0049070592250248166,-0.06055298792923458,1.2212453270876722e-15
targeted,cubic_spin_glass,inst_d796bb2832a607ab9991e780ba6ba381959a114de52b1fc6e98f6f0c5ae5ed90,selective,equal_layer_p1,positive_depth_only,original_only_minus_cold,1,0,-0.20133021350583347,-7.4636079733110705,-0.0058745537162018715,-0.01617857153844038,1.2212453270876722e-15
targeted,cubic_spin_glass,inst_d796bb2832a607ab9991e780ba6ba381959a114de52b1fc6e98f6f0c5ae5ed90,selective,equal_layer_p1,positive_depth_only,independence_minus_cold,1,0,0.11355076559190769,-19.73786423630757,-0.005498470349794168,-0.08515069259283536,5.551115123125783e-16
targeted,cubic_spin_glass,inst_d796bb2832a607ab9991e780ba6ba381959a114de52b1fc6e98f6f0c5ae5ed90,selective,equal_layer_p1,positive_depth_only,pair_minus_original_only,1,0,-0.42609715611256904,-8.834760504845718,0.0009674944911770545,-0.0443744163907942,0.0
targeted,cubic_spin_glass,inst_d796bb2832a607ab9991e780ba6ba381959a114de52b1fc6e98f6f0c5ae5ed90,selective,equal_layer_p1,positive_depth_only,pair_minus_independence,1,0,-0.7409781352103102,3.4394957581507803,0.0005914111247693507,0.024597704663600783,6.661338147750939e-16
targeted,cubic_spin_glass,inst_d796bb2832a607ab9991e780ba6ba381959a114de52b1fc6e98f6f0c5ae5ed90,selective,equal_layer_p2,all_scheduled,pair_minus_cold,1,0,0.29208181097752595,16.51061844250411,0.0022704927595701167,0.0210363174203837,1.1102230246251565e-16
targeted,cubic_spin_glass,inst_d796bb2832a607ab9991e780ba6ba381959a114de52b1fc6e98f6f0c5ae5ed90,selective,equal_layer_p2,all_scheduled,original_only_minus_cold,1,0,-0.20018729659788626,7.176810884983752,-0.0012951883189622863,0.015371201969236026,9.992007221626409e-16
targeted,cubic_spin_glass,inst_d796bb2832a607ab9991e780ba6ba381959a114de52b1fc6e98f6f0c5ae5ed90,selective,equal_layer_p2,all_scheduled,independence_minus_cold,1,0,-0.29967082126345634,8.0091725372544,0.001694877286718817,0.014926884849390754,1.2212453270876722e-15
targeted,cubic_spin_glass,inst_d796bb2832a607ab9991e780ba6ba381959a114de52b1fc6e98f6f0c5ae5ed90,selective,equal_layer_p2,all_scheduled,pair_minus_original_only,1,0,0.4922691075754122,9.333807557520359,0.003565681078532403,0.005665115451147673,-8.881784197001252e-16
targeted,cubic_spin_glass,inst_d796bb2832a607ab9991e780ba6ba381959a114de52b1fc6e98f6f0c5ae5ed90,selective,equal_layer_p2,all_scheduled,pair_minus_independence,1,0,0.5917526322409823,8.50144590524971,0.0005756154728512996,0.006109432570992945,-1.1102230246251565e-15
targeted,cubic_spin_glass,inst_d796bb2832a607ab9991e780ba6ba381959a114de52b1fc6e98f6f0c5ae5ed90,selective,equal_layer_p2,positive_depth_only,pair_minus_cold,1,0,0.29208181097752595,16.51061844250411,0.0022704927595701167,0.0210363174203837,1.1102230246251565e-16
targeted,cubic_spin_glass,inst_d796bb2832a607ab9991e780ba6ba381959a114de52b1fc6e98f6f0c5ae5ed90,selective,equal_layer_p2,positive_depth_only,original_only_minus_cold,1,0,-0.20018729659788626,7.176810884983752,-0.0012951883189622863,0.015371201969236026,9.992007221626409e-16
targeted,cubic_spin_glass,inst_d796bb2832a607ab9991e780ba6ba381959a114de52b1fc6e98f6f0c5ae5ed90,selective,equal_layer_p2,positive_depth_only,independence_minus_cold,1,0,-0.29967082126345634,8.0091725372544,0.001694877286718817,0.014926884849390754,1.2212453270876722e-15
targeted,cubic_spin_glass,inst_d796bb2832a607ab9991e780ba6ba381959a114de52b1fc6e98f6f0c5ae5ed90,selective,equal_layer_p2,positive_depth_only,pair_minus_original_only,1,0,0.4922691075754122,9.333807557520359,0.003565681078532403,0.005665115451147673,-8.881784197001252e-16
targeted,cubic_spin_glass,inst_d796bb2832a607ab9991e780ba6ba381959a114de52b1fc6e98f6f0c5ae5ed90,selective,equal_layer_p2,positive_depth_only,pair_minus_independence,1,0,0.5917526322409823,8.50144590524971,0.0005756154728512996,0.006109432570992945,-1.1102230246251565e-15
targeted,cubic_spin_glass,inst_8024dbda0f7de5189254ad4ee6feb8e22263710e6c27cea27e3a1f561e3dbd08,selective,equal_layer_p1,all_scheduled,pair_minus_cold,1,0,-0.34390988839673825,5.861288160988224,-0.008769251980305679,0.030559549701206556,-1.887379141862766e-15
targeted,cubic_spin_glass,inst_8024dbda0f7de5189254ad4ee6feb8e22263710e6c27cea27e3a1f561e3dbd08,selective,equal_layer_p1,all_scheduled,original_only_minus_cold,1,0,0.06181447459106931,4.513641099640694,-0.012453006428011556,0.030867430948191665,-4.440892098500626e-16
