study,family,instance_id,representation,budget_key,policy,depth_stratum,original_objective_mean,encoded_energy_mean,optimum_hit_rate,auxiliary_inconsistency_rate,statevector_norm,draw_count,restart_count,zero_depth_draw_count,draw_ids,depths
targeted,cubic_spin_glass,inst_d796bb2832a607ab9991e780ba6ba381959a114de52b1fc6e98f6f0c5ae5ed90,selective,equal_layer_p2,independence,positive_depth_only,-1.1596528630236214,49.40706986186907,0.0078599871372535,0.9622654566106147,1.000000000000001,1,3,0,"[""""]",[2]
targeted,cubic_spin_glass,inst_8024dbda0f7de5189254ad4ee6feb8e22263710e6c27cea27e3a1f561e3dbd08,selective,equal_layer_p1,cold,all_scheduled,-0.3346233503142065,44.303871113909786,0.03492145488597551,0.9189873162638292,1.0000000000000009,1,3,0,"[""""]",[1]
targeted,cubic_spin_glass,inst_8024dbda0f7de5189254ad4ee6feb8e22263710e6c27cea27e3a1f561e3dbd08,selective,equal_layer_p1,cold,positive_depth_only,-0.3346233503142065,44.303871113909786,0.03492145488597551,0.9189873162638292,1.0000000000000009,1,3,0,"[""""]",[1]
targeted,cubic_spin_glass,inst_8024dbda0f7de5189254ad4ee6feb8e22263710e6c27cea27e3a1f561e3dbd08,selective,equal_layer_p1,original_only,all_scheduled,-0.27280887572313717,48.81751221355048,0.022468448457963957,0.9498547472120209,1.0000000000000004,1,3,0,"[""""]",[1]
targeted,cubic_spin_glass,inst_8024dbda0f7de5189254ad4ee6feb8e22263710e6c27cea27e3a1f561e3dbd08,selective,equal_layer_p1,original_only,positive_depth_only,-0.27280887572313717,48.81751221355048,0.022468448457963957,0.9498547472120209,1.0000000000000004,1,3,0,"[""""]",[1]
targeted,cubic_spin_glass,inst_8024dbda0f7de5189254ad4ee6feb8e22263710e6c27cea27e3a1f561e3dbd08,selective,equal_layer_p1,pair,all_scheduled,-0.6785332387109447,50.16515927489801,0.026152202905669834,0.9495468659650358,0.999999999999999,1,3,0,"[""""]",[1]
targeted,cubic_spin_glass,inst_8024dbda0f7de5189254ad4ee6feb8e22263710e6c27cea27e3a1f561e3dbd08,selective,equal_layer_p1,pair,positive_depth_only,-0.6785332387109447,50.16515927489801,0.026152202905669834,0.9495468659650358,0.999999999999999,1,3,0,"[""""]",[1]
targeted,cubic_spin_glass,inst_8024dbda0f7de5189254ad4ee6feb8e22263710e6c27cea27e3a1f561e3dbd08,selective,equal_layer_p1,independence,all_scheduled,-0.62404974303944,58.793223114177316,0.027198350019789635,0.9672603010120566,0.9999999999999994,1,3,0,"[""""]",[1]
targeted,cubic_spin_glass,inst_8024dbda0f7de5189254ad4ee6feb8e22263710e6c27cea27e3a1f561e3dbd08,selective,equal_layer_p1,independence,positive_depth_only,-0.62404974303944,58.793223114177316,0.027198350019789635,0.9672603010120566,0.9999999999999994,1,3,0,"[""""]",[1]
targeted,cubic_spin_glass,inst_8024dbda0f7de5189254ad4ee6feb8e22263710e6c27cea27e3a1f561e3dbd08,selective,equal_layer_p2,cold,all_scheduled,-0.34761888876812086,43.33545075046688,0.0375315532126388,0.8916603377082756,1.0000000000000004,1,3,0,"[""""]",[2]
