actions_json,beam_width,code_commit,config_hash,family,fibre_threshold,instance_id,maximum_penalty,method,n_auxiliary,normalised_fibre_excess,penalty_margin,resource_score,status,two_qubit_depth,two_qubit_gates,variant_id,weights_json
"[null,null,null,null,null]",64,5bdec984a409335ca07aa5bec867f3c5fee9cf14,dcae3585519be308040729bc8a4548c06f46493af50e454b389165349380c632,max3sat,0.02,inst_03fb9b57a6dce56e8aa5338559e7d2041bf1c85c0c8032542e21c29ca024e1dc,0.0,deterministic_pareto_beam,0,0.0,1.0,0.15885416666666666,pass,34,36,weights_auxiliary_heavy,"{""auxiliary_count"":0.45,""maximum_penalty"":0.05,""two_qubit_depth"":0.25,""two_qubit_gate_count"":0.25}"
"[null,null,null,null,null]",64,5bdec984a409335ca07aa5bec867f3c5fee9cf14,dcae3585519be308040729bc8a4548c06f46493af50e454b389165349380c632,max3sat,0.02,inst_03fb9b57a6dce56e8aa5338559e7d2041bf1c85c0c8032542e21c29ca024e1dc,0.0,deterministic_pareto_beam,0,0.0,1.0,0.15885416666666666,pass,34,36,weights_penalty_heavy,"{""auxiliary_count"":0.05,""maximum_penalty"":0.45,""two_qubit_depth"":0.25,""two_qubit_gate_count"":0.25}"
"[null,null,null,null,null]",64,5bdec984a409335ca07aa5bec867f3c5fee9cf14,dcae3585519be308040729bc8a4548c06f46493af50e454b389165349380c632,max3sat,0.02,inst_03fb9b57a6dce56e8aa5338559e7d2041bf1c85c0c8032542e21c29ca024e1dc,0.0,deterministic_pareto_beam,0,0.0,1.0,0.28125,pass,34,36,gate_only,"{""auxiliary_count"":0.0,""maximum_penalty"":0.0,""two_qubit_depth"":0.0,""two_qubit_gate_count"":1.0}"
"[null,[1,3],[2,4],[2,4],null]",64,5bdec984a409335ca07aa5bec867f3c5fee9cf14,dcae3585519be308040729bc8a4548c06f46493af50e454b389165349380c632,max3sat,0.02,inst_03fb9b57a6dce56e8aa5338559e7d2041bf1c85c0c8032542e21c29ca024e1dc,8.0,deterministic_pareto_beam,2,0.018678160926005747,1.0,0.23958333333333334,pass,23,38,depth_only,"{""auxiliary_count"":0.0,""maximum_penalty"":0.0,""two_qubit_depth"":1.0,""two_qubit_gate_count"":0.0}"
"[null,[1,3],[2,4],[2,4],null]",64,5bdec984a409335ca07aa5bec867f3c5fee9cf14,dcae3585519be308040729bc8a4548c06f46493af50e454b389165349380c632,max3sat,0.02,inst_03fb9b57a6dce56e8aa5338559e7d2041bf1c85c0c8032542e21c29ca024e1dc,8.0,deterministic_pareto_beam,2,0.018678160926005747,1.0,0.2682291666666667,pass,23,38,gate_depth_joint,"{""auxiliary_count"":0.0,""maximum_penalty"":0.0,""two_qubit_depth"":0.5,""two_qubit_gate_count"":0.5}"
"[null,null,[2,3],null,null]",16,5bdec984a409335ca07aa5bec867f3c5fee9cf14,dcae3585519be308040729bc8a4548c06f46493af50e454b389165349380c632,max3sat,0.02,inst_03fb9b57a6dce56e8aa5338559e7d2041bf1c85c0c8032542e21c29ca024e1dc,3.0,deterministic_pareto_beam,1,0.00431034483045977,1.0,0.2638020833333333,pass,27,36,beam_16,"{""auxiliary_count"":0.05,""maximum_penalty"":0.05,""two_qubit_depth"":0.45,""two_qubit_gate_count"":0.45}"
"[null,null,[2,3],null,null]",32,5bdec984a409335ca07aa5bec867f3c5fee9cf14,dcae3585519be308040729bc8a4548c06f46493af50e454b389165349380c632,max3sat,0.02,inst_03fb9b57a6dce56e8aa5338559e7d2041bf1c85c0c8032542e21c29ca024e1dc,3.0,deterministic_pareto_beam,1,0.00431034483045977,1.0,0.2638020833333333,pass,27,36,beam_32,"{""auxiliary_count"":0.05,""maximum_penalty"":0.05,""two_qubit_depth"":0.45,""two_qubit_gate_count"":0.45}"
"[null,null,[2,3],null,null]",128,5bdec984a409335ca07aa5bec867f3c5fee9cf14,dcae3585519be308040729bc8a4548c06f46493af50e454b389165349380c632,max3sat,0.02,inst_03fb9b57a6dce56e8aa5338559e7d2041bf1c85c0c8032542e21c29ca024e1dc,3.0,deterministic_pareto_beam,1,0.00431034483045977,1.0,0.2638020833333333,pass,27,36,beam_128,"{""auxiliary_count"":0.05,""maximum_penalty"":0.05,""two_qubit_depth"":0.45,""two_qubit_gate_count"":0.45}"
"[null,null,null,null,null]",64,5bdec984a409335ca07aa5bec867f3c5fee9cf14,dcae3585519be308040729bc8a4548c06f46493af50e454b389165349380c632,max3sat,0.0,inst_03fb9b57a6dce56e8aa5338559e7d2041bf1c85c0c8032542e21c29ca024e1dc,0.0,deterministic_pareto_beam,0,0.0,1.0,0.2859375,pass,34,36,tau_0.0,"{""auxiliary_count"":0.05,""maximum_penalty"":0.05,""two_qubit_depth"":0.45,""two_qubit_gate_count"":0.45}"
"[null,null,[2,3],null,null]",64,5bdec984a409335ca07aa5bec867f3c5fee9cf14,dcae3585519be308040729bc8a4548c06f46493af50e454b389165349380c632,max3sat,0.01,inst_03fb9b57a6dce56e8aa5338559e7d2041bf1c85c0c8032542e21c29ca024e1dc,3.0,deterministic_pareto_beam,1,0.00431034483045977,1.0,0.2638020833333333,pass,27,36,tau_0.01,"{""auxiliary_count"":0.05,""maximum_penalty"":0.05,""two_qubit_depth"":0.45,""two_qubit_gate_count"":0.45}"
"[[2,4],[3,4],[3,4],[2,4],[3,4]]",64,5bdec984a409335ca07aa5bec867f3c5fee9cf14,dcae3585519be308040729bc8a4548c06f46493af50e454b389165349380c632,max3sat,0.05,inst_03fb9b57a6dce56e8aa5338559e7d2041bf1c85c0c8032542e21c29ca024e1dc,14.0,deterministic_pareto_beam,2,0.048491379322557475,1.0,0.24791666666666667,pass,20,36,tau_0.05,"{""auxiliary_count"":0.05,""maximum_penalty"":0.05,""two_qubit_depth"":0.45,""two_qubit_gate_count"":0.45}"
"[[2,4],[3,4],[3,4],[2,4],[3,4]]",64,5bdec984a409335ca07aa5bec867f3c5fee9cf14,dcae3585519be308040729bc8a4548c06f46493af50e454b389165349380c632,max3sat,0.1,inst_03fb9b57a6dce56e8aa5338559e7d2041bf1c85c0c8032542e21c29ca024e1dc,14.0,deterministic_pareto_beam,2,0.048491379322557475,1.0,0.24791666666666667,pass,20,36,tau_0.1,"{""auxiliary_count"":0.05,""maximum_penalty"":0.05,""two_qubit_depth"":0.45,""two_qubit_gate_count"":0.45}"
"[null,null,[2,4],[2,4],null]",64,5bdec984a409335ca07aa5bec867f3c5fee9cf14,dcae3585519be308040729bc8a4548c06f46493af50e454b389165349380c632,max3sat,0.02,inst_03fb9b57a6dce56e8aa5338559e7d2041bf1c85c0c8032542e21c29ca024e1dc,7.5,deterministic_pareto_beam,1,0.01136363636969697,0.5,0.26731770833333335,pass,27,36,margin_0.5,"{""auxiliary_count"":0.05,""maximum_penalty"":0.05,""two_qubit_depth"":0.45,""two_qubit_gate_count"":0.45}"
"[null,null,[2,4],[2,4],null]",64,5bdec984a409335ca07aa5bec867f3c5fee9cf14,dcae3585519be308040729bc8a4548c06f46493af50e454b389165349380c632,max3sat,0.02,inst_03fb9b57a6dce56e8aa5338559e7d2041bf1c85c0c8032542e21c29ca024e1dc,9.0,deterministic_pareto_beam,1,0.011718750007161459,2.0,0.26848958333333334,pass,27,36,margin_2.0,"{""auxiliary_count"":0.05,""maximum_penalty"":0.05,""two_qubit_depth"":0.45,""two_qubit_gate_count"":0.45}"
"[null,[1,3],[2,3],null,null]",not_applicable,5bdec984a409335ca07aa5bec867f3c5fee9cf14,dcae3585519be308040729bc8a4548c06f46493af50e454b389165349380c632,max3sat,0.02,inst_03fb9b57a6dce56e8aa5338559e7d2041bf1c85c0c8032542e21c29ca024e1dc,3.0,greedy,2,0.011494252876436782,1.0,0.2791666666666667,pass,27,38,baseline_greedy,"{""auxiliary_count"":0.05,""maximum_penalty"":0.05,""two_qubit_depth"":0.45,""two_qubit_gate_count"":0.45}"
"[[2,4],[3,4],[2,4],[2,4],[3,4]]",not_applicable,5bdec984a409335ca07aa5bec867f3c5fee9cf14,dcae3585519be308040729bc8a4548c06f46493af50e454b389165349380c632,max3sat,0.02,inst_03fb9b57a6dce56e8aa5338559e7d2041bf1c85c0c8032542e21c29ca024e1dc,16.0,maximum_reuse,2,0.052801724150143683,1.0,0.24947916666666667,infeasible_baseline,20,36,baseline_maximum_reuse,"{""auxiliary_count"":0.05,""maximum_penalty"":0.05,""two_qubit_depth"":0.45,""two_qubit_gate_count"":0.45}"
"[[3,5],[3,5],null,[3,5],[3,5],null]",64,5bdec984a409335ca07aa5bec867f3c5fee9cf14,dcae3585519be308040729bc8a4548c06f46493af50e454b389165349380c632,max3sat,0.02,inst_0434852d0e4bbbb6edc67f1a83f9235d3f150efab1e9f63ee316ef80112685d3,9.0,deterministic_pareto_beam,1,0.01957831324943524,1.0,0.27317708333333335,pass,25,40,main,"{""auxiliary_count"":0.05,""maximum_penalty"":0.05,""two_qubit_depth"":0.45,""two_qubit_gate_count"":0.45}"
"[null,null,null,null,null,null]",64,5bdec984a409335ca07aa5bec867f3c5fee9cf14,dcae3585519be308040729bc8a4548c06f46493af50e454b389165349380c632,max3sat,0.02,inst_0434852d0e4bbbb6edc67f1a83f9235d3f150efab1e9f63ee316ef80112685d3,0.0,deterministic_pareto_beam,0,0.0,1.0,0.19401041666666666,pass,40,46,weights_equal,"{""auxiliary_count"":0.25,""maximum_penalty"":0.25,""two_qubit_depth"":0.25,""two_qubit_gate_count"":0.25}"
"[null,null,null,null,null,null]",64,5bdec984a409335ca07aa5bec867f3c5fee9cf14,dcae3585519be308040729bc8a4548c06f46493af50e454b389165349380c632,max3sat,0.02,inst_0434852d0e4bbbb6edc67f1a83f9235d3f150efab1e9f63ee316ef80112685d3,0.0,deterministic_pareto_beam,0,0.0,1.0,0.19401041666666666,pass,40,46,weights_auxiliary_heavy,"{""auxiliary_count"":0.45,""maximum_penalty"":0.05,""two_qubit_depth"":0.25,""two_qubit_gate_count"":0.25}"
"[null,null,null,null,null,null]",64,5bdec984a409335ca07aa5bec867f3c5fee9cf14,dcae3585519be308040729bc8a4548c06f46493af50e454b389165349380c632,max3sat,0.02,inst_0434852d0e4bbbb6edc67f1a83f9235d3f150efab1e9f63ee316ef80112685d3,0.0,deterministic_pareto_beam,0,0.0,1.0,0.19401041666666666,pass,40,46,weights_penalty_heavy,"{""auxiliary_count"":0.05,""maximum_penalty"":0.45,""two_qubit_depth"":0.25,""two_qubit_gate_count"":0.25}"
"[[3,5],[3,5],null,[3,5],[3,5],null]",64,5bdec984a409335ca07aa5bec867f3c5fee9cf14,dcae3585519be308040729bc8a4548c06f46493af50e454b389165349380c632,max3sat,0.02,inst_0434852d0e4bbbb6edc67f1a83f9235d3f150efab1e9f63ee316ef80112685d3,9.0,deterministic_pareto_beam,1,0.01957831324943524,1.0,0.3125,pass,25,40,gate_only,"{""auxiliary_count"":0.0,""maximum_penalty"":0.0,""two_qubit_depth"":0.0,""two_qubit_gate_count"":1.0}"
"[[3,5],[3,5],null,[3,5],[3,5],null]",64,5bdec984a409335ca07aa5bec867f3c5fee9cf14,dcae3585519be308040729bc8a4548c06f46493af50e454b389165349380c632,max3sat,0.02,inst_0434852d0e4bbbb6edc67f1a83f9235d3f150efab1e9f63ee316ef80112685d3,9.0,deterministic_pareto_beam,1,0.01957831324943524,1.0,0.2604166666666667,pass,25,40,depth_only,"{""auxiliary_count"":0.0,""maximum_penalty"":0.0,""two_qubit_depth"":1.0,""two_qubit_gate_count"":0.0}"
"[[3,5],[3,5],null,[3,5],[3,5],null]",64,5bdec984a409335ca07aa5bec867f3c5fee9cf14,dcae3585519be308040729bc8a4548c06f46493af50e454b389165349380c632,max3sat,0.02,inst_0434852d0e4bbbb6edc67f1a83f9235d3f150efab1e9f63ee316ef80112685d3,9.0,deterministic_pareto_beam,1,0.01957831324943524,1.0,0.2864583333333333,pass,25,40,gate_depth_joint,"{""auxiliary_count"":0.0,""maximum_penalty"":0.0,""two_qubit_depth"":0.5,""two_qubit_gate_count"":0.5}"
"[[3,5],[3,5],null,[3,5],[3,5],null]",16,5bdec984a409335ca07aa5bec867f3c5fee9cf14,dcae3585519be308040729bc8a4548c06f46493af50e454b389165349380c632,max3sat,0.02,inst_0434852d0e4bbbb6edc67f1a83f9235d3f150efab1e9f63ee316ef80112685d3,9.0,deterministic_pareto_beam,1,0.01957831324943524,1.0,0.27317708333333335,pass,25,40,beam_16,"{""auxiliary_count"":0.05,""maximum_penalty"":0.05,""two_qubit_depth"":0.45,""two_qubit_gate_count"":0.45}"
"[[3,5],[3,5],null,[3,5],[3,5],null]",32,5bdec984a409335ca07aa5bec867f3c5fee9cf14,dcae3585519be308040729bc8a4548c06f46493af50e454b389165349380c632,max3sat,0.02,inst_0434852d0e4bbbb6edc67f1a83f9235d3f150efab1e9f63ee316ef80112685d3,9.0,deterministic_pareto_beam,1,0.01957831324943524,1.0,0.27317708333333335,pass,25,40,beam_32,"{""auxiliary_count"":0.05,""maximum_penalty"":0.05,""two_qubit_depth"":0.45,""two_qubit_gate_count"":0.45}"
