instance_id,family,n_original,cubic_count,proof_complete,lower_bound,upper_bound,final_gap,explored_nodes,evaluated_leaves,pruned_by_bound,pruned_by_capacity,runtime_sec,selected_actions,matches_frozen_optimum,config_hash,code_commit
inst_dade03db84c619118a6748c21ec501901532795cabc6e6217c275cf030d00453,max3sat,6,6,True,0.26901041666666664,0.26901041666666664,0.0,5461,4096,0,0,2.3033646999974735,"[[2, 4], [3, 6], [2, 4], [3, 6], [2, 4], [3, 6]]",True,dcae3585519be308040729bc8a4548c06f46493af50e454b389165349380c632,5bdec984a409335ca07aa5bec867f3c5fee9cf14
inst_dfa053745165296611ebb7c15d66256f7b20b20c1230b3e656f1100e21bbb640,max3sat,5,5,True,0.23385416666666667,0.23385416666666667,0.0,1365,1024,0,0,0.4463056999957189,"[None, [3, 4], [2, 5], [2, 5], [3, 4]]",True,dcae3585519be308040729bc8a4548c06f46493af50e454b389165349380c632,5bdec984a409335ca07aa5bec867f3c5fee9cf14
inst_e1b2f08364aecae1af02f56f628a0fa0a6648302c7bbb0f12d915d4dc49bc1fc,cubic_spin_glass,8,8,True,0.2578125,0.2578125,0.0,33236,20804,0,16493,14.715333300002385,"[None, None, None, None, None, None, None, None]",True,dcae3585519be308040729bc8a4548c06f46493af50e454b389165349380c632,5bdec984a409335ca07aa5bec867f3c5fee9cf14
inst_e3e6dbeaae002921ac052e4a5cf6f8cb5dd37cddbfdc3c4e23a0c9432d59d80e,cubic_spin_glass,7,7,True,0.1875,0.1875,0.0,17051,11904,0,3538,7.393878899980336,"[None, None, None, None, None, None, None]",True,dcae3585519be308040729bc8a4548c06f46493af50e454b389165349380c632,5bdec984a409335ca07aa5bec867f3c5fee9cf14
inst_e60b9255b354a60d52fe024ff785db607b4ef095b1160c4b99c9be19ca7813ae,cubic_spin_glass,7,7,True,0.2296875,0.2296875,0.0,18587,13334,0,2426,8.221429699973669,"[None, None, None, None, None, None, None]",True,dcae3585519be308040729bc8a4548c06f46493af50e454b389165349380c632,5bdec984a409335ca07aa5bec867f3c5fee9cf14
inst_e7c760c5bbca9d80515c990ed99c50d1fe5f51c98613acfdae5eabc96f15b528,cubic_spin_glass,6,6,True,0.1734375,0.1734375,0.0,5461,4096,0,0,2.1710872999974526,"[None, None, None, None, None, None]",True,dcae3585519be308040729bc8a4548c06f46493af50e454b389165349380c632,5bdec984a409335ca07aa5bec867f3c5fee9cf14
inst_e990046a904689cc5ef1615dbefd078293dceea63bc8f4ffcd71a56b3a1346cf,max3sat,6,6,True,0.26666666666666666,0.26666666666666666,0.0,5461,4096,0,0,2.2497825999744236,"[[2, 3], [2, 4], [2, 3], [2, 3], [2, 4], [2, 4]]",True,dcae3585519be308040729bc8a4548c06f46493af50e454b389165349380c632,5bdec984a409335ca07aa5bec867f3c5fee9cf14
inst_eae424153ea0ca9c332b0876f402eae8b2ed2a7cd02a64cafc1e0e51e69cb8e1,max3sat,5,7,True,0.27109375,0.27109375,0.0,21845,16384,0,0,9.870001500006765,"[None, [2, 5], [3, 4], [3, 5], [3, 4], [2, 5], [2, 5]]",True,dcae3585519be308040729bc8a4548c06f46493af50e454b389165349380c632,5bdec984a409335ca07aa5bec867f3c5fee9cf14
inst_f563df67f7c2758f96c1628905727d7ce51ec8161c04dff4ea739eea2ff20d17,cubic_spin_glass,6,6,True,0.1921875,0.1921875,0.0,5461,4096,0,0,2.2810327999759465,"[None, None, None, None, None, None]",True,dcae3585519be308040729bc8a4548c06f46493af50e454b389165349380c632,5bdec984a409335ca07aa5bec867f3c5fee9cf14
inst_f618aedaa283fbbee7d6c0cfdb4e2dee081cd0012a80ca3fb3719ff9808f8baa,max3sat,7,7,True,0.3229166666666667,0.3229166666666667,0.0,18204,13024,0,2517,8.46366740000667,"[[1, 3], [1, 3], [1, 3], [3, 4], None, [3, 4], [3, 4]]",True,dcae3585519be308040729bc8a4548c06f46493af50e454b389165349380c632,5bdec984a409335ca07aa5bec867f3c5fee9cf14
inst_fb8c721f454174cb8aef897ad3faef24febb3992347faa696ded176a8b5a23ed,cubic_spin_glass,5,5,True,0.159375,0.159375,0.0,1365,1024,0,0,0.5015782999689691,"[None, None, None, None, None]",True,dcae3585519be308040729bc8a4548c06f46493af50e454b389165349380c632,5bdec984a409335ca07aa5bec867f3c5fee9cf14
